Name,Team,P,G,A
Amar Sejdic,Atlanta United FC,23,0,1
Brad Guzan,Atlanta United FC,30,0,0
Brooks Lennon,Atlanta United FC,36,4,13
Caleb Wiley,Atlanta United FC,33,4,5
Derrick Etienne Jr.,Atlanta United FC,23,0,2
Edwin Mosquera,Atlanta United FC,15,4,1
Giorgos Giakoumakis,Atlanta United FC,30,19,5
Jay Fortune,Atlanta United FC,17,0,2
Juanjo Purata,Atlanta United FC,29,1,0
Luis Abram,Atlanta United FC,25,0,0
Luiz Araújo,Atlanta United FC,16,3,2
Machop Chol,Atlanta United FC,19,2,1
Matheus Rossetto,Atlanta United FC,32,1,2
Miguel Berry,Atlanta United FC,27,1,1
Miles Robinson,Atlanta United FC,30,2,1
Nicolas Firmino,Atlanta United FC,1,1,0
Osvaldo Alonso,Atlanta United FC,0,0,0
Ronald Hernández,Atlanta United FC,11,0,1
Saba Lobjanidze,Atlanta United FC,12,3,5
Santiago Sosa,Atlanta United FC,17,0,1
Thiago Almada,Atlanta United FC,33,12,20
Tristan Muyumba,Atlanta United FC,13,1,0
Tyler Wolff,Atlanta United FC,21,5,1
Xande Silva,Atlanta United FC,13,4,3
