Name,Team,P,G,A
Adalberto Carrasquilla,Houston Dynamo FC,30,3,9
Amine Bassi,Houston Dynamo FC,33,12,4
Andrew Tarbell,Houston Dynamo FC,1,0,0
Artur,Houston Dynamo FC,39,2,0
Brad Smith,Houston Dynamo FC,21,1,2
Brooklyn Raines,Houston Dynamo FC,7,0,0
Chase Gasper,Houston Dynamo FC,5,0,0
Corey Baird,Houston Dynamo FC,39,9,6
Daniel Steres,Houston Dynamo FC,26,2,2
Erik Sviatchenko,Houston Dynamo FC,22,0,1
Ethan Bartlow,Houston Dynamo FC,27,0,0
Franco Escobar,Houston Dynamo FC,33,3,1
Griffin Dorsey,Houston Dynamo FC,24,3,2
Héctor Herrera,Houston Dynamo FC,35,5,19
Ibrahim Aliyu,Houston Dynamo FC,28,3,3
Ivan Franco,Houston Dynamo FC,26,3,3
Luis Caicedo,Houston Dynamo FC,27,0,0
Micael,Houston Dynamo FC,29,1,0
Nelson Quiñones,Houston Dynamo FC,33,4,3
Sebastian Kowalczyk,Houston Dynamo FC,9,0,1
Sebastián Ferreira,Houston Dynamo FC,11,0,0
Steve Clark,Houston Dynamo FC,38,0,2
Tate Schmitt,Houston Dynamo FC,5,1,0
Teenage Hadebe,Houston Dynamo FC,14,1,0
Thorleifur Úlfarsson,Houston Dynamo FC,21,3,1
