"Name","Team","P","G","A"
"Albert Rusnák","Seattle Sounders FC","36","7","4"
"Alex Roldan","Seattle Sounders FC","32","1","4"
"Cody Baker","Seattle Sounders FC","12","0","0"
"Cristian Roldan","Seattle Sounders FC","20","3","3"
"Dylan Teves","Seattle Sounders FC","13","0","0"
"Ethan Dobbelaere","Seattle Sounders FC","3","0","0"
"Fredy Montero","Seattle Sounders FC","17","1","1"
"Héber","Seattle Sounders FC","22","2","1"
"Jackson Ragen","Seattle Sounders FC","36","0","4"
"Jordan Morris","Seattle Sounders FC","30","13","2"
"Joshua Atencio","Seattle Sounders FC","26","1","1"
"João Paulo","Seattle Sounders FC","35","0","6"
"Kelyn Rowe","Seattle Sounders FC","10","0","0"
"Léo Chú","Seattle Sounders FC","36","5","8"
"Nicolás Lodeiro","Seattle Sounders FC","37","1","11"
"Nouhou Tolo","Seattle Sounders FC","32","0","1"
"Obed Vargas","Seattle Sounders FC","24","0","2"
"Paul Rothrock","Seattle Sounders FC","4","1","0"
"Raúl Ruidíaz","Seattle Sounders FC","21","5","1"
"Reed Baker-Whiting","Seattle Sounders FC","20","0","1"
"Stefan Cleveland","Seattle Sounders FC","2","0","0"
"Stefan Frei","Seattle Sounders FC","36","0","0"
"Xavier Arreaga","Seattle Sounders FC","14","0","0"
"Yeimar Gómez","Seattle Sounders FC","37","2","0"
