Name,Team,P,G,A
Billy Sharp,LA Galaxy,12,6,2
Calegari,LA Galaxy,22,0,2
Chris Mavinga,LA Galaxy,19,0,0
Daniel Aguirre,LA Galaxy,25,1,1
Dejan Joveljic,LA Galaxy,32,6,5
Diego Fagundez,LA Galaxy,30,3,6
Douglas Costa,LA Galaxy,19,3,10
Edwin Cerrillo,LA Galaxy,30,0,3
Efrain Álvarez,LA Galaxy,0,0,1
Eriq Zavaleta,LA Galaxy,11,2,0
Gastón Brugman,LA Galaxy,22,2,2
Jalen Neal,LA Galaxy,16,1,0
Javier Hernández,LA Galaxy,9,1,1
Jonathan Bond,LA Galaxy,24,0,0
Jonathan Pérez,LA Galaxy,0,0,1
Julián Aude,LA Galaxy,22,0,1
Kelvin Leerdam,LA Galaxy,20,1,2
Mark Delgado,LA Galaxy,30,2,3
Martín Cáceres,LA Galaxy,15,2,0
Maya Yoshida,LA Galaxy,12,1,3
Michael Barrios,LA Galaxy,26,3,3
Oriol Rosell,LA Galaxy,16,0,1
Preston Judd,LA Galaxy,17,3,2
Raheem Edwards,LA Galaxy,30,2,4
Ricard Puig,LA Galaxy,29,7,8
Tyler Boyd,LA Galaxy,34,7,4
