Name,Team,P,G,A
Aidan Morris,Columbus Crew,36,4,8
Alexandru Matan,Columbus Crew,37,2,12
Christian Ramírez,Columbus Crew,35,10,4
Cucho Hernández,Columbus Crew,33,21,13
Darlington Nagbe,Columbus Crew,40,4,1
Diego Rossi,Columbus Crew,16,5,6
Gustavo Vallecilla,Columbus Crew,12,0,0
Isaiah Parente,Columbus Crew,7,0,0
Jacen Russell-Rowe,Columbus Crew,23,4,5
Jimmy Medranda,Columbus Crew,10,1,0
Julian Gressel,Columbus Crew,33,4,6
Kevin Molino,Columbus Crew,14,0,2
Malte Amundsen,Columbus Crew,28,4,4
Max Arfsten,Columbus Crew,13,3,2
Milos Degenek,Columbus Crew,12,0,0
Mohamed Farsi,Columbus Crew,36,0,5
Patrick Schulte,Columbus Crew,37,0,1
Philip Quinton,Columbus Crew,12,1,0
Rudy Camacho,Columbus Crew,37,1,0
Sean Zawadzki,Columbus Crew,36,3,0
Steven Moreira,Columbus Crew,40,0,6
William Sands,Columbus Crew,7,0,2
Yaw Yeboah,Columbus Crew,37,4,6
Yevhen Cheberko,Columbus Crew,9,0,0
