Name,Team,P,G,A
Alex Bono,D.C. United,10,0,0
Andy Nájar,D.C. United,21,0,0
Brendan Hines-Ike,D.C. United,12,0,0
Christian Benteke,D.C. United,31,14,4
Christopher Durkin,D.C. United,31,3,2
Cristián Dájome,D.C. United,26,2,1
Derrick Williams,D.C. United,24,1,0
Donovan Pines,D.C. United,22,3,0
Erik Hurtado,D.C. United,7,0,0
Gabriel Pirani,D.C. United,10,1,0
Jacob Greene,D.C. United,11,1,0
Kristian Fletcher,D.C. United,10,0,2
Lewis O'Brien,D.C. United,17,1,1
Mateusz Klich,D.C. United,32,4,9
Mohanad Jeahze,D.C. United,0,0,2
Nigel Robertha,D.C. United,10,1,0
Pedro Santos,D.C. United,21,1,1
Ruan,D.C. United,24,0,6
Russell Canouse,D.C. United,27,0,1
Steve Birnbaum,D.C. United,22,1,0
Taxiarchis Fountas,D.C. United,17,6,1
Ted Ku-Dipietro,D.C. United,26,5,3
Tyler Miller,D.C. United,25,0,0
Victor Palsson,D.C. United,18,0,3
Yamil Asad,D.C. United,21,0,2
Éric Davis,D.C. United,8,0,0
