Name,Team,P,G,A
Adam Lundkvist,Austin FC,23,0,2
Aleksandar Radovanovic,Austin FC,7,0,0
Alexander Ring,Austin FC,28,2,5
Brad Stuver,Austin FC,34,0,0
CJ Fodrey,Austin FC,3,0,0
Dani Pereira,Austin FC,32,0,8
Emiliano Rigoni,Austin FC,33,5,6
Ethan Finlay,Austin FC,34,5,4
Gyasi Zardes,Austin FC,28,6,2
Jhojan Valencia,Austin FC,27,0,2
Jon Gallagher,Austin FC,34,5,8
Julio Cascante,Austin FC,24,2,4
Kipp Keller,Austin FC,7,0,0
Leo Väisänen,Austin FC,21,1,1
Matt Hedges,Austin FC,20,1,0
Maximiliano Urruti,Austin FC,25,1,0
Memo Rodríguez,Austin FC,21,1,2
Nick Lima,Austin FC,33,1,5
Owen Wolff,Austin FC,27,2,3
Rodney Redes,Austin FC,11,1,1
Sebastián Driussi,Austin FC,28,11,5
Sofiane Djeffal,Austin FC,7,0,1
Will Bruin,Austin FC,19,3,1
Zan Kolmanic,Austin FC,6,0,0
