Name,Team,P,G,A
Aaron Herrera,CF Montréal,19,0,3
Ahmed Hamdi,CF Montréal,13,1,0
Ariel Lassiter,CF Montréal,32,1,2
Bryce Duke,CF Montréal,33,2,3
Chinonso Offor,CF Montréal,30,4,0
Gabriele Corbo,CF Montréal,28,0,2
George Campbell,CF Montréal,26,1,2
Joel Waterman,CF Montréal,28,1,3
Jonathan Sirois,CF Montréal,33,0,0
Jules-Anthony Vilsaint,CF Montréal,11,1,1
Kwadwo Opoku,CF Montréal,30,6,3
Lassi Lappalainen,CF Montréal,21,2,3
Mason Toye,CF Montréal,14,3,1
Mathieu Choinière,CF Montréal,28,5,5
Matko Miljevic,CF Montréal,8,0,1
Nathan Saliba,CF Montréal,28,0,1
Romell Quioto,CF Montréal,13,3,1
Róbert Orri Thorkelsson,CF Montréal,9,0,0
Samuel Piette,CF Montréal,16,0,0
Sean Rea,CF Montréal,15,0,2
Sunusi Ibrahim,CF Montréal,25,3,3
Victor Wanyama,CF Montréal,25,0,1
Zachary Brault-Guillard,CF Montréal,24,1,1
