Name,Team,P,G,A
Bakaye Dibassy,Minnesota United FC,8,0,0
Bongokuhle Hlongwane,Minnesota United FC,30,8,5
Brent Kallman,Minnesota United FC,7,0,0
Clint Irwin,Minnesota United FC,4,0,0
D.J. Taylor,Minnesota United FC,30,0,1
Dayne St. Clair,Minnesota United FC,30,0,1
Devin Padelford,Minnesota United FC,8,1,0
Emanuel Reynoso,Minnesota United FC,18,6,5
Ethan Bristow,Minnesota United FC,9,0,0
Franco Fragapane,Minnesota United FC,24,1,2
Hassani Dotson,Minnesota United FC,34,3,4
Ismael Tajouri-Shradi,Minnesota United FC,10,1,3
Jan Gregus,Minnesota United FC,27,1,0
Jeong Sang-Bin,Minnesota United FC,23,1,1
Joseph Rosales,Minnesota United FC,18,1,0
Kemar Lawrence,Minnesota United FC,14,0,0
Kervin Arriaga,Minnesota United FC,20,2,2
Luis Amarilla,Minnesota United FC,13,2,0
Mender García,Minnesota United FC,30,3,2
Michael Boxall,Minnesota United FC,32,2,0
Miguel Tapias,Minnesota United FC,32,1,0
Robin Lod,Minnesota United FC,10,0,2
Teemu Pukki,Minnesota United FC,14,10,1
Wil Trapp,Minnesota United FC,30,0,1
Zarek Valentin,Minnesota United FC,20,0,2
