Team,P,yc,rc,PTS
CF Montréal,34,-,-,45
Chicago Fire FC,34,-,-,31
Colorado Rapids,34,-,-,58
Columbus Crew,34,-,-,36
D.C. United,34,-,-,46
FC Dallas,34,-,-,60
Houston Dynamo FC,34,-,-,34
LA Galaxy,34,-,-,52
New England Revolution,34,-,-,42
New York City FC,34,-,-,54
Orlando City SC,34,-,-,41
Philadelphia Union,34,-,-,42
Portland Timbers,34,-,-,44
Real Salt Lake,34,-,-,46
Red Bull New York,34,-,-,57
San Jose Earthquakes,34,-,-,38
Seattle Sounders FC,34,-,-,48
Sporting Kansas City,34,-,-,47
Toronto FC,34,-,-,53
Vancouver Whitecaps,34,-,-,39
