Team,P,yc,rc,PTS
Atlanta United FC,37,65,2,71
CF Montréal,34,56,4,68
Chicago Fire FC,34,59,2,65
Colorado Rapids,34,66,8,90
Columbus Crew,34,56,1,59
D.C. United,35,56,6,74
FC Cincinnati,34,56,4,68
FC Dallas,35,70,1,73
Houston Dynamo FC,34,67,4,79
LA Galaxy,36,75,3,84
LAFC,36,51,1,54
Minnesota United FC,35,52,3,61
New England Revolution,35,68,5,83
New York City FC,35,79,1,82
Orlando City SC,34,62,3,71
Philadelphia Union,36,62,3,71
Portland Timbers,35,75,6,93
Real Salt Lake,36,69,6,87
Red Bull New York,35,52,5,67
San Jose Earthquakes,34,70,5,85
Seattle Sounders FC,38,56,3,65
Sporting Kansas City,34,73,7,94
Toronto FC,38,57,3,66
Vancouver Whitecaps,34,59,1,62
