Team,P,yc,rc,PTS
Chicago Fire FC,33,48,4,60
Chivas USA,30,-,-,45
Colorado Rapids,30,50,2,56
Columbus Crew,32,62,7,83
D.C. United,30,65,4,77
FC Dallas,30,56,5,71
Houston Dynamo FC,33,56,7,77
LA Galaxy,34,53,7,74
New England Revolution,32,53,4,65
Real Salt Lake,34,77,7,98
Red Bull New York,30,45,6,63
San Jose Earthquakes,30,59,1,62
Seattle Sounders FC,32,60,9,87
Sporting Kansas City,30,60,6,78
Toronto FC,30,58,3,67
