Team,P,yc,rc,PTS
Chicago Fire FC,30,90,10,120
Colorado Rapids,30,115,8,139
Columbus Crew,30,63,8,87
D.C. United,30,89,5,104
FC Dallas,30,132,7,153
Houston Dynamo FC,30,78,5,93
LA Galaxy,30,54,4,66
New England Revolution,30,74,1,77
Real Salt Lake,30,135,11,168
Red Bull New York,30,80,13,119
Sporting Kansas City,30,132,6,150
Toronto FC,30,99,11,132
