Team,P,yc,rc,PTS
CF Montréal,34,-,-,28
Chicago Fire FC,34,-,-,36
Chivas USA,34,-,-,33
Colorado Rapids,34,-,-,32
Columbus Crew,34,-,-,52
D.C. United,34,-,-,59
FC Dallas,34,-,-,54
Houston Dynamo FC,34,-,-,39
LA Galaxy,34,-,-,61
New England Revolution,34,-,-,55
Philadelphia Union,34,-,-,42
Portland Timbers,34,-,-,49
Real Salt Lake,34,-,-,56
Red Bull New York,34,-,-,50
San Jose Earthquakes,34,-,-,30
Seattle Sounders FC,34,-,-,64
Sporting Kansas City,34,-,-,49
Toronto FC,34,-,-,41
Vancouver Whitecaps,34,-,-,50
