Team,P,yc,rc,PTS
CF Montréal,34,-,-,42
Chicago Fire FC,34,-,-,57
Chivas USA,34,-,-,30
Colorado Rapids,34,-,-,37
Columbus Crew,34,-,-,52
D.C. United,34,-,-,58
FC Dallas,34,-,-,39
Houston Dynamo FC,34,-,-,53
LA Galaxy,34,-,-,54
New England Revolution,34,-,-,35
Philadelphia Union,34,-,-,36
Portland Timbers,34,-,-,34
Real Salt Lake,34,-,-,57
Red Bull New York,34,-,-,57
San Jose Earthquakes,34,-,-,66
Seattle Sounders FC,34,-,-,56
Sporting Kansas City,34,-,-,63
Toronto FC,34,-,-,23
Vancouver Whitecaps,34,-,-,43
