Team,P,yc,rc,PTS
Chicago Fire FC,32,5,0,5
Colorado Rapids,32,6,1,9
Columbus Crew,32,0,0,0
D.C. United,32,6,0,6
FC Dallas,32,3,1,6
Houston Dynamo FC,32,8,0,8
LA Galaxy,32,0,0,0
New England Revolution,32,11,0,11
Real Salt Lake,32,0,0,0
Red Bull New York,-,-,-,-
Sporting Kansas City,32,3,0,3
