Team,P,yc,rc,PTS
Chicago Fire FC,30,-,-,53
Colorado Rapids,30,-,-,40
Columbus Crew,30,-,-,38
D.C. United,30,-,-,39
FC Dallas,30,-,-,23
LA Galaxy,30,-,-,36
New England Revolution,30,-,-,45
Red Bull New York,30,-,-,42
San Jose Earthquakes,30,-,-,51
Sporting Kansas City,30,-,-,42
