Team,P,yc,rc,PTS
Atlanta United FC,34,66,3,75
Austin FC,37,78,4,90
CF Montréal,36,80,3,89
Charlotte FC,34,62,2,68
Chicago Fire FC,34,80,5,95
Colorado Rapids,34,86,7,107
Columbus Crew,34,62,1,65
D.C. United,34,67,5,82
FC Cincinnati,36,81,4,93
FC Dallas,36,78,3,87
Houston Dynamo FC,34,89,6,107
Inter Miami CF,35,72,5,87
LA Galaxy,36,82,4,94
LAFC,37,82,3,91
Minnesota United FC,35,80,2,86
MLS All-Stars,-,-,-,-
Nashville SC,35,74,2,80
New England Revolution,34,53,2,59
New York City FC,37,80,2,86
Orlando City SC,35,74,3,83
Philadelphia Union,36,71,3,80
Portland Timbers,34,89,5,104
Real Salt Lake,35,72,2,78
Red Bull New York,35,82,5,97
San Jose Earthquakes,34,67,2,73
Seattle Sounders FC,34,62,4,74
Sporting Kansas City,34,60,6,78
Toronto FC,33,63,1,66
Vancouver Whitecaps,34,69,3,78
