Team,P,yc,rc,PTS
Atlanta United FC,39,60,2,66
Austin FC,34,86,3,95
CF Montréal,35,64,2,70
Charlotte FC,37,83,3,92
Chicago Fire FC,34,73,2,79
Colorado Rapids,36,52,2,58
Columbus Crew,36,46,5,61
D.C. United,34,94,7,115
FC Cincinnati,37,86,4,98
FC Dallas,34,76,1,79
Houston Dynamo FC,36,80,4,92
Inter Miami CF,37,92,4,104
LA Galaxy,39,65,3,74
LAFC,38,79,5,94
Minnesota United FC,37,82,7,103
Nashville SC,34,59,2,65
New England Revolution,34,65,3,74
New York City FC,38,83,6,101
Orlando City SC,39,77,2,83
Philadelphia Union,34,66,1,69
Portland Timbers,35,70,3,79
Real Salt Lake,36,78,2,84
Red Bull New York,39,65,6,83
San Jose Earthquakes,34,69,3,78
Seattle Sounders FC,38,60,7,81
Sporting Kansas City,34,65,3,74
St. Louis CITY SC,34,84,0,84
Toronto FC,34,96,6,114
Vancouver Whitecaps,38,72,3,81
