Team,P,yc,rc,PTS
Chicago Fire FC,28,-,-,37
Colorado Rapids,28,-,-,43
Columbus Crew,28,-,-,38
D.C. United,28,-,-,32
FC Dallas,28,-,-,43
LA Galaxy,28,-,-,51
New England Revolution,28,-,-,38
Red Bull New York,28,-,-,35
San Jose Earthquakes,28,-,-,45
Sporting Kansas City,28,-,-,36
