Team,P,yc,rc,PTS
Chicago Fire FC,34,62,4,74
Colorado Rapids,37,59,6,77
Columbus Crew,35,52,3,61
D.C. United,34,48,5,63
FC Dallas,35,59,5,74
Houston Dynamo FC,38,48,6,66
LA Galaxy,38,61,3,70
New England Revolution,34,53,9,80
Philadelphia Union,36,44,2,50
Portland Timbers,34,47,3,56
Real Salt Lake,37,60,7,81
Red Bull New York,37,57,6,75
San Jose Earthquakes,34,65,4,77
Seattle Sounders FC,36,64,2,70
Sporting Kansas City,37,56,8,80
Toronto FC,34,50,4,62
Vancouver Whitecaps,34,55,6,73
