Team,P,yc,rc,PTS
Chicago Fire FC,32,-,-,49
Chivas USA,32,-,-,18
Colorado Rapids,32,-,-,45
Columbus Crew,32,-,-,38
D.C. United,32,-,-,54
FC Dallas,32,-,-,48
LA Galaxy,32,-,-,45
New England Revolution,32,-,-,59
Real Salt Lake,32,-,-,20
Red Bull New York,32,-,-,47
San Jose Earthquakes,32,-,-,64
Sporting Kansas City,32,-,-,45
