Team,P,yc,rc,PTS
CF Montréal,34,-,-,51
Chicago Fire FC,34,-,-,30
Colorado Rapids,34,-,-,37
Columbus Crew,34,-,-,53
D.C. United,34,-,-,51
FC Dallas,34,-,-,60
Houston Dynamo FC,34,-,-,42
LA Galaxy,34,-,-,51
New England Revolution,34,-,-,50
New York City FC,34,-,-,37
Orlando City SC,34,-,-,44
Philadelphia Union,34,-,-,37
Portland Timbers,34,-,-,53
Real Salt Lake,34,-,-,41
Red Bull New York,34,-,-,60
San Jose Earthquakes,34,-,-,47
Seattle Sounders FC,34,-,-,51
Sporting Kansas City,34,-,-,51
Toronto FC,34,-,-,49
Vancouver Whitecaps,34,-,-,53
