Team,P,yc,rc,PTS
Chicago Fire FC,33,64,2,70
Colorado Rapids,30,42,5,57
Columbus Crew,34,59,4,71
D.C. United,30,69,5,84
FC Dallas,30,54,7,75
Houston Dynamo FC,32,59,3,68
LA Galaxy,30,53,3,62
New England Revolution,32,50,7,71
Real Salt Lake,33,57,3,66
Red Bull New York,34,68,4,80
San Jose Earthquakes,30,60,3,69
Sporting Kansas City,32,51,3,60
Toronto FC,30,51,6,69
