Team,P,yc,rc,PTS
Atlanta United FC,23,46,3,55
CF Montréal,25,35,5,50
Chicago Fire FC,23,40,1,43
Colorado Rapids,19,33,2,39
Columbus Crew,28,47,0,47
D.C. United,23,40,3,49
FC Cincinnati,24,39,0,39
FC Dallas,24,45,1,48
Houston Dynamo FC,23,51,3,60
Inter Miami CF,24,54,4,66
LA Galaxy,22,38,4,50
LAFC,25,37,1,40
Minnesota United FC,27,47,2,53
Nashville SC,26,35,1,38
New England Revolution,28,38,2,44
New York City FC,26,55,1,58
Orlando City SC,29,54,5,69
Philadelphia Union,27,56,0,56
Portland Timbers,28,43,1,46
Real Salt Lake,23,48,2,54
Red Bull New York,24,33,1,36
San Jose Earthquakes,26,40,1,43
Seattle Sounders FC,27,38,1,41
Sporting Kansas City,25,47,2,53
Toronto FC,25,34,0,34
Vancouver Whitecaps,24,39,4,51
