Team,P,yc,rc,PTS
Chicago Fire FC,30,-,-,33
Colorado Rapids,30,-,-,41
Columbus Crew,30,-,-,49
D.C. United,30,-,-,42
FC Dallas,30,-,-,36
LA Galaxy,30,-,-,43
New England Revolution,30,-,-,33
Red Bull New York,30,-,-,40
San Jose Earthquakes,30,-,-,38
Sporting Kansas City,30,-,-,49
