Team,P,yc,rc,PTS
CF Montréal,34,-,-,49
Chicago Fire FC,34,-,-,49
Chivas USA,34,-,-,26
Colorado Rapids,34,-,-,51
Columbus Crew,34,-,-,41
D.C. United,34,-,-,16
FC Dallas,34,-,-,44
Houston Dynamo FC,34,-,-,51
LA Galaxy,34,-,-,53
New England Revolution,34,-,-,51
Philadelphia Union,34,-,-,46
Portland Timbers,34,-,-,57
Real Salt Lake,34,-,-,56
Red Bull New York,34,-,-,59
San Jose Earthquakes,34,-,-,51
Seattle Sounders FC,34,-,-,52
Sporting Kansas City,34,-,-,58
Toronto FC,34,-,-,29
Vancouver Whitecaps,34,-,-,48
