Team,P,yc,rc,PTS
Atlanta United FC,34,64,0,64
Austin FC,36,81,1,84
CF Montréal,34,73,2,79
Charlotte FC,37,70,3,79
Chicago Fire FC,37,82,5,97
Colorado Rapids,34,64,4,76
Columbus Crew,37,43,1,46
D.C. United,34,94,4,106
FC Cincinnati,38,68,3,77
FC Dallas,36,83,5,98
Houston Dynamo FC,34,84,5,99
Inter Miami CF,40,92,4,104
LA Galaxy,34,69,3,78
LAFC,37,63,2,69
Minnesota United FC,38,77,1,80
Nashville SC,37,70,1,73
New England Revolution,34,69,1,72
New York City FC,39,79,1,82
Orlando City SC,35,72,3,81
Philadelphia Union,37,97,4,109
Portland Timbers,38,77,4,89
Real Salt Lake,35,89,5,104
Red Bull New York,34,78,2,84
San Diego FC,39,81,2,87
San Jose Earthquakes,34,78,4,90
Seattle Sounders FC,37,57,6,75
Sporting Kansas City,34,67,3,76
St. Louis CITY SC,34,64,4,76
Toronto FC,34,58,1,61
Vancouver Whitecaps,39,80,4,92
