Team,P,yc,rc,PTS
Atlanta United FC,34,-,-,55
CF Montréal,34,-,-,39
Chicago Fire FC,34,-,-,55
Colorado Rapids,34,-,-,33
Columbus Crew,34,-,-,54
D.C. United,34,-,-,32
FC Dallas,34,-,-,46
Houston Dynamo FC,34,-,-,50
LA Galaxy,34,-,-,32
Minnesota United FC,34,-,-,36
New England Revolution,34,-,-,45
New York City FC,34,-,-,57
Orlando City SC,34,-,-,39
Philadelphia Union,34,-,-,42
Portland Timbers,34,-,-,53
Real Salt Lake,34,-,-,45
Red Bull New York,34,-,-,50
San Jose Earthquakes,34,-,-,46
Seattle Sounders FC,34,-,-,53
Sporting Kansas City,34,-,-,49
Toronto FC,34,-,-,69
Vancouver Whitecaps,34,-,-,52
