Team,P,yc,rc,PTS
Atlanta United FC,36,65,4,77
Austin FC,34,58,4,70
CF Montréal,34,60,5,75
Chicago Fire FC,34,62,2,68
Colorado Rapids,36,73,1,76
Columbus Crew,34,49,1,52
D.C. United,34,69,3,78
FC Cincinnati,34,75,3,84
FC Dallas,34,80,1,83
Houston Dynamo FC,34,73,1,76
Inter Miami CF,34,78,4,90
LA Galaxy,34,54,1,57
LAFC,34,55,1,58
Minnesota United FC,36,61,2,67
Nashville SC,38,55,1,58
New England Revolution,36,53,3,62
New York City FC,42,72,9,99
Orlando City SC,36,68,3,77
Philadelphia Union,40,73,3,82
Portland Timbers,42,73,3,82
Real Salt Lake,40,76,2,82
Red Bull New York,36,74,2,80
San Jose Earthquakes,34,79,4,91
Seattle Sounders FC,36,60,0,60
Sporting Kansas City,38,50,2,56
Toronto FC,34,57,4,69
Vancouver Whitecaps,36,60,0,60
