Team,P,yc,rc,PTS
Atlanta United FC,37,69,2,75
Austin FC,34,62,2,68
CF Montréal,34,65,3,74
Charlotte FC,35,90,0,90
Chicago Fire FC,34,80,6,98
Colorado Rapids,34,77,5,92
Columbus Crew,40,76,2,82
D.C. United,34,69,2,75
FC Cincinnati,38,88,5,103
FC Dallas,37,70,2,76
Houston Dynamo FC,39,103,5,118
Inter Miami CF,34,83,3,92
LA Galaxy,34,82,4,94
LAFC,39,82,0,82
Minnesota United FC,34,59,1,62
Nashville SC,35,74,6,92
New England Revolution,36,56,3,65
New York City FC,34,78,1,81
Orlando City SC,37,80,2,86
Philadelphia Union,37,87,5,102
Portland Timbers,34,88,0,88
Real Salt Lake,37,80,2,86
Red Bull New York,37,92,4,104
San Jose Earthquakes,35,75,4,87
Seattle Sounders FC,38,66,2,72
Sporting Kansas City,38,63,3,72
St. Louis CITY SC,36,85,4,97
Toronto FC,34,52,5,67
Vancouver Whitecaps,36,76,1,79
