Name,Team,P,G,A
Charlie Austin,Queens Park Rangers,35.0,18.0,5.0
Leroy Fer,Queens Park Rangers,29.0,6.0,0.0
Matt Phillips,Queens Park Rangers,0.0,0.0,8.0
