Name,Team,P,G,A
Adrian Cann,Toronto FC,0,0,0
Alan Stevanovic,Toronto FC,0,0,0
Andy Iro,Toronto FC,17,0,0
Ashtone Morgan,Toronto FC,14,0,2
Danleigh Borman,Toronto FC,24,0,3
Danny Koevermans,Toronto FC,10,8,2
Eric Avila,Toronto FC,22,2,2
Gianluca Zavarise,Toronto FC,14,0,0
Javier Sylvester Martina,Toronto FC,23,2,0
Joao Plata,Toronto FC,26,3,5
Julian de Guzman,Toronto FC,19,2,2
Matt Stinson,Toronto FC,13,0,1
Mikael-David Yourassowsky,Toronto FC,20,0,1
Nathan Sturgis,Toronto FC,14,0,0
Nick Soolsma,Toronto FC,23,3,4
Peri Marosevic,Toronto FC,7,2,0
Richard Eckersley,Toronto FC,23,0,0
Ryan Johnson,Toronto FC,16,3,4
Stefan Frei,Toronto FC,27,0,1
Torsten Frings,Toronto FC,13,0,1
Ty Harden,Toronto FC,26,0,0
