Name,Team,P,G,A
Andrés Mendoza,Columbus Crew,30,13,1
Andy Gruenebaum,Columbus Crew,2,0,0
Bernardo Anor,Columbus Crew,13,1,1
Chad Marshall,Columbus Crew,33,0,1
Cole Grossman,Columbus Crew,2,0,0
Danny O'Rourke,Columbus Crew,7,0,0
Dejan Rusmir,Columbus Crew,18,0,1
Dilly Duka,Columbus Crew,23,2,1
Eddie Gaven,Columbus Crew,27,5,1
Emilio Rentería,Columbus Crew,19,8,2
Emmanuel Ekpo,Columbus Crew,32,1,1
Eric Gehrig,Columbus Crew,7,0,0
Jeff Cunningham,Columbus Crew,22,2,0
Josh Gardner,Columbus Crew,23,2,2
Julius James,Columbus Crew,32,1,0
Justin Meram,Columbus Crew,17,0,2
Kevin Burns,Columbus Crew,19,0,0
Leandre Griffit,Columbus Crew,1,0,0
Rich Balchan,Columbus Crew,19,1,0
Robbie Rogers,Columbus Crew,28,2,7
Sebastián Miranda,Columbus Crew,35,0,2
Shaun Francis,Columbus Crew,6,0,0
Tom Heinemann,Columbus Crew,29,3,1
Will Hesmer,Columbus Crew,33,0,0
