Name,Team,P,G,A
Andrew Williams,Real Salt Lake,34,2,1
Artur Aghasyan,Real Salt Lake,4,0,0
Arturo Álvarez,Real Salt Lake,16,0,1
Blake Wagner,Real Salt Lake,11,0,0
Chris Schuler,Real Salt Lake,23,2,0
Chris Wingert,Real Salt Lake,26,0,2
Cody Arnoux,Real Salt Lake,2,0,0
Collen Warner,Real Salt Lake,24,0,4
Fabián Espíndola,Real Salt Lake,30,10,3
Jamison Olave,Real Salt Lake,26,2,1
Javier Moral,Real Salt Lake,13,2,4
Jean-Marc Alexandre,Real Salt Lake,19,1,2
Kyle Beckerman,Real Salt Lake,32,3,7
Luis Gil,Real Salt Lake,28,2,0
Nat Borchers,Real Salt Lake,31,3,1
Ned Grabavoy,Real Salt Lake,28,1,0
Nelson González,Real Salt Lake,6,1,1
Nick Rimando,Real Salt Lake,36,0,0
Paulo -,Real Salt Lake,11,2,3
Rauwshan McKenzie,Real Salt Lake,2,0,0
Robbie Russell,Real Salt Lake,29,0,2
Tony Beltran,Real Salt Lake,24,0,0
Will Johnson,Real Salt Lake,28,2,1
Yordany Álvarez,Real Salt Lake,6,0,0
Álvaro Saborío,Real Salt Lake,26,14,1
