Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,19951996,2,40,2,1476,234,401,635,25,1677,60,10,35,6,2354,0.0994052676295667,89,82,35,39,0,2.9255810361097025,0.9081245254365984,2634,2392,242,4,2026-04-06T19:43:54Z
Boston Bruins,BOS,19951996,2,34,5,1472,282,455,737,39,1023,68,13,40,2,2838,0.09936575052854123,91,82,40,31,0,3.1997326873277085,0.8791458427987279,2201,1935,266,2,2026-04-06T19:43:55Z
Buffalo Sabres,BUF,19951996,2,35,5,1476,247,416,663,-105,2169,76,10,33,2,2333,0.10587226746678097,91,82,33,42,0,3.0723431992823134,0.912534435261708,2904,2650,254,2,2026-04-06T19:43:55Z
Calgary Flames,CGY,19951996,2,38,2,1476,241,379,620,39,1488,71,11,34,2,2466,0.09772911597729116,90,82,34,37,0,2.8544742270812193,0.8935498421290031,2217,1981,236,6,2026-04-06T19:43:55Z
Chicago Blackhawks,CHI,19951996,2,30,3,1476,273,472,745,257,1816,63,13,40,1,2240,0.121875,86,82,40,28,0,2.5861896138090494,0.9076857020180334,2329,2114,215,5,2026-04-06T19:43:56Z
Colorado Avalanche,COL,19951996,2,33,3,1476,326,541,867,325,1508,86,21,47,2,2644,0.12329803328290469,86,82,47,25,0,2.824807605251245,0.9010152284263959,2364,2130,234,2,2026-04-06T19:43:56Z
Dallas Stars,DAL,19951996,2,39,5,1476,227,377,604,-210,1604,67,8,26,1,2471,0.09186564144071226,94,82,26,42,0,3.2219138409557138,0.8937524870672503,2513,2246,267,2,2026-04-06T19:43:56Z
Detroit Red Wings,DET,19951996,2,27,3,1476,324,553,877,428,1527,97,17,62,3,2647,0.1224027200604458,86,82,62,13,0,2.169273340559756,0.9095959595959596,1980,1801,179,9,2026-04-06T19:43:57Z
Edmonton Oilers,EDM,19951996,2,34,4,1475,240,403,643,-293,1685,72,10,30,4,2458,0.09764035801464606,94,82,30,44,0,3.5796227555973594,0.8808853118712273,2485,2189,296,1,2026-04-06T19:43:57Z
Florida Panthers,FLA,19951996,2,30,2,1476,254,432,686,-1,1456,81,11,41,0,2364,0.10744500846023688,91,82,41,31,0,2.780230812881736,0.8992553657468244,2283,2053,230,2,2026-04-06T19:43:57Z
Hartford Whalers,HFD,19951996,2,29,3,1476,237,376,613,-43,1777,67,8,34,2,2493,0.0950661853188929,95,82,34,39,0,3.0626141166738963,0.9081669691470055,2755,2502,253,6,2026-04-06T19:43:58Z
Los Angeles Kings,LAK,19951996,2,44,3,1475,256,438,694,-241,1432,72,12,24,3,2573,0.09949475320637388,88,82,24,40,0,3.5607359920073267,0.8975862068965518,2900,2603,297,1,2026-04-06T19:43:58Z
Montréal Canadiens,MTL,19951996,2,35,5,1475,265,432,697,29,1801,77,15,40,2,2363,0.11214557765552265,88,82,40,32,0,2.924392765551781,0.9086792452830189,2650,2408,242,4,2026-04-06T19:43:58Z
New Jersey Devils,NJD,19951996,2,32,3,1476,215,346,561,14,1445,55,11,37,7,2636,0.0815629742033384,91,82,37,33,0,2.3399571811959112,0.9103926096997691,2165,1971,194,6,2026-04-06T19:43:58Z
New York Islanders,NYI,19951996,2,45,4,1465,229,372,601,-336,1646,70,8,22,2,2310,0.09913419913419913,98,82,22,50,0,3.720364009725655,0.8821060663868753,2621,2312,309,3,2026-04-06T19:43:59Z
New York Rangers,NYR,19951996,2,34,3,1476,272,467,739,179,1821,85,6,41,2,2671,0.10183451890677649,86,82,41,27,0,2.779003087781209,0.9063640048642075,2467,2236,231,5,2026-04-06T19:43:59Z
Ottawa Senators,OTT,19951996,2,34,3,1476,191,305,496,-364,1514,53,6,18,0,2204,0.0866606170598911,89,82,18,59,0,3.405520456772188,0.8876855194544725,2493,2213,280,3,2026-04-06T19:44:00Z
Philadelphia Flyers,PHI,19951996,2,35,3,1473,282,481,763,254,1719,82,12,45,4,2529,0.11150652431791222,88,82,45,24,0,2.4379096959284774,0.9041548630783758,2118,1915,203,5,2026-04-06T19:44:00Z
Pittsburgh Penguins,PIT,19951996,2,34,2,1462,362,638,1000,213,1585,109,18,49,3,2645,0.13686200378071833,86,82,49,29,0,3.345996295745515,0.9028611797951254,2831,2556,275,5,2026-04-06T19:44:00Z
San Jose Sharks,SJS,19951996,2,32,4,1472,252,398,650,-384,1450,62,15,20,1,2143,0.11759216052263183,96,82,20,55,0,4.20621815197901,0.8720887245841035,2705,2359,346,0,2026-04-06T19:44:01Z
St. Louis Blues,STL,19951996,2,42,4,1472,219,343,562,-110,1787,74,11,32,1,2548,0.08594976452119309,100,82,32,34,0,2.9651366357103557,0.898894801473598,2443,2196,247,3,2026-04-06T19:44:01Z
Tampa Bay Lightning,TBL,19951996,2,31,4,1476,238,385,623,-134,1608,83,6,38,3,2546,0.09347996857816182,92,82,38,32,0,2.916804772953265,0.9001650165016502,2424,2182,242,5,2026-04-06T19:44:01Z
Toronto Maple Leafs,TOR,19951996,2,37,3,1474,247,394,641,-96,1706,83,11,34,4,2675,0.09233644859813084,88,82,34,36,0,2.9825914869352297,0.9052187260168841,2606,2359,247,2,2026-04-06T19:44:02Z
Vancouver Canucks,VAN,19951996,2,33,2,1476,278,461,739,29,1520,69,18,32,1,2472,0.11245954692556634,86,82,32,35,0,3.2514342103062437,0.8904665314401623,2465,2195,270,3,2026-04-06T19:44:02Z
Washington Capitals,WSH,19951996,2,31,2,1476,234,404,638,156,1531,63,12,39,4,2470,0.09473684210526316,89,82,39,32,0,2.4042527485804035,0.9023073146784487,2037,1838,199,9,2026-04-06T19:44:02Z
Winnipeg Jets (1979),WIN,19951996,2,36,5,1476,275,445,720,-67,1590,82,10,36,2,2410,0.11410788381742738,92,82,36,40,0,3.429961483884046,0.8976034858387799,2754,2472,282,2,2026-04-06T19:44:03Z
