Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20252026,2,26,4,1418,256,447,703,-63,775,43,8,33,9,2440,0.10491803278688525,82,77,41,31,5,3.253152028916907,0.8852459016393442,2196,1944,252,0,2026-04-06T19:50:58Z
Boston Bruins,BOS,20252026,2,28,3,1405,256,443,699,112,907,55,2,39,8,2122,0.12064090480678605,82,78,43,26,9,2.876151556501389,0.9023013460703431,2303,2078,226,2,2026-04-06T19:50:59Z
Buffalo Sabres,BUF,20252026,2,31,3,1552,277,462,739,84,928,48,10,44,3,2358,0.11747243426632739,82,77,46,23,8,2.749606401337335,0.9061662198391421,2238,2028,212,4,2026-04-06T19:50:59Z
Calgary Flames,CGY,20252026,2,33,2,1384,188,272,460,-153,717,32,11,30,3,1952,0.09631147540983606,83,76,32,36,8,2.9292321164687207,0.90150842945874,2254,2032,223,2,2026-04-06T19:50:59Z
Carolina Hurricanes,CAR,20252026,2,27,4,1425,272,441,713,114,624,57,12,44,8,2523,0.10780816488307571,81,80,51,23,6,2.7960537670783654,0.8823529411764706,1904,1680,225,3,2026-04-06T19:50:59Z
Chicago Blackhawks,CHI,20252026,2,24,3,1236,186,306,492,-270,572,38,4,24,4,1743,0.10671256454388985,79,77,28,35,14,3.0078531215261592,0.8998280309544282,2326,2093,233,5,2026-04-06T19:51:00Z
Colorado Avalanche,COL,20252026,2,30,3,1477,293,539,832,362,584,47,1,44,3,2745,0.10673952641165756,82,76,50,16,10,2.321091627022577,0.9105691056910569,1968,1792,177,7,2026-04-06T19:51:00Z
Columbus Blue Jackets,CBJ,20252026,2,29,2,1462,244,425,669,46,673,37,6,34,5,2377,0.10265039966344132,80,77,38,27,12,2.8738039240954927,0.8997752808988764,2225,2002,223,3,2026-04-06T19:51:00Z
Dallas Stars,DAL,20252026,2,28,2,1506,267,473,740,65,686,72,4,41,5,2131,0.12529328953542937,79,77,45,20,12,2.5083233668422924,0.9033864541832669,2008,1814,194,4,2026-04-06T19:51:01Z
Detroit Red Wings,DET,20252026,2,27,2,1442,240,401,641,-85,625,56,2,41,9,2293,0.10466637592673354,84,77,40,29,8,2.7878530289987142,0.8982970671712394,2114,1899,215,4,2026-04-06T19:51:01Z
Edmonton Oilers,EDM,20252026,2,29,3,1449,267,461,728,-25,747,63,7,40,9,2353,0.1134721631959201,75,67,37,24,6,3.1651749719420934,0.8854881266490765,1895,1678,217,4,2026-04-06T19:51:01Z
Florida Panthers,FLA,20252026,2,32,2,1422,231,370,601,-215,890,51,6,34,3,2206,0.10471441523118767,80,77,37,37,3,3.1098757712340106,0.8831867057673509,2046,1807,239,4,2026-04-06T19:51:02Z
Los Angeles Kings,LAK,20252026,2,26,3,1375,215,368,583,-28,569,35,10,31,8,2163,0.09939898289412853,81,76,31,26,19,2.7577734015068023,0.8972736124634859,2054,1843,212,5,2026-04-06T19:51:02Z
Minnesota Wild,MIN,20252026,2,30,2,1497,266,466,732,46,715,64,7,41,11,2465,0.10791075050709939,80,77,44,21,12,2.620760534429599,0.9109347442680776,2268,2066,204,8,2026-04-06T19:51:02Z
Montréal Canadiens,MTL,20252026,2,28,3,1432,267,464,731,129,762,53,8,42,10,2086,0.12799616490891658,80,77,45,22,10,2.900148945921173,0.894266917293233,2128,1903,225,1,2026-04-06T19:51:02Z
Nashville Predators,NSH,20252026,2,22,2,1127,195,329,524,-126,525,42,6,29,5,1794,0.10869565217391304,81,76,36,31,9,3.0714595631264423,0.895468820098699,2229,1996,234,0,2026-04-06T19:51:03Z
New Jersey Devils,NJD,20252026,2,31,3,1321,217,348,565,-129,592,44,6,37,8,2275,0.09538461538461539,79,77,40,34,3,2.861313024754693,0.8956646021915198,2099,1880,220,2,2026-04-06T19:51:03Z
New York Islanders,NYI,20252026,2,27,3,1480,237,376,613,-54,646,41,9,40,10,2263,0.10472823685373397,82,78,42,31,5,2.7161067706005397,0.9033440219880898,2183,1972,211,9,2026-04-06T19:51:03Z
New York Rangers,NYR,20252026,2,30,4,1290,202,355,557,-74,534,48,6,27,6,1746,0.1156930126002291,81,78,33,36,9,2.742652084757348,0.9047619047619048,2247,2033,214,3,2026-04-06T19:51:04Z
Ottawa Senators,OTT,20252026,2,30,4,1382,252,430,682,82,722,53,6,37,3,2237,0.1126508717031739,80,77,40,26,10,2.967274637023097,0.8781014023732471,1854,1628,226,3,2026-04-06T19:51:04Z
Philadelphia Flyers,PHI,20252026,2,29,3,1346,206,360,566,29,676,31,6,27,6,1888,0.10911016949152542,83,77,39,26,12,2.7452908853776914,0.889974293059126,1945,1731,214,0,2026-04-06T19:51:04Z
