Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20012002,2,28,3,1476,175,295,470,-106,1208,43,4,29,3,2142,0.08169934640522876,87,82,29,45,0,2.3216474377804563,0.914959928762244,2246,2055,191,4,2026-04-06T19:45:13Z
Atlanta Thrashers,ATL,20012002,2,39,5,1475,187,290,477,-365,1260,37,3,19,3,1984,0.09425403225806452,91,82,19,52,0,3.3091343379718468,0.9054193993786676,2897,2623,274,3,2026-04-06T19:45:14Z
Boston Bruins,BOS,20012002,2,36,3,1476,236,385,621,185,1409,39,14,43,9,2595,0.09094412331406551,84,82,43,33,0,2.365990892812833,0.9044834307992202,2052,1856,196,5,2026-04-06T19:45:14Z
Buffalo Sabres,BUF,20012002,2,27,3,1476,213,347,560,0,1191,50,7,35,4,2295,0.09281045751633987,91,82,35,36,0,2.313601324365156,0.9095215537659876,2111,1920,191,4,2026-04-06T19:45:14Z
Calgary Flames,CGY,20012002,2,33,3,1475,201,323,524,-59,1570,55,10,32,2,2207,0.09107385591300408,88,82,32,38,0,2.5740440487819614,0.9046979865771813,2235,2022,213,6,2026-04-06T19:45:15Z
Carolina Hurricanes,CAR,20012002,2,29,3,1475,217,368,585,-49,996,63,4,35,6,2347,0.09245845760545376,87,82,35,31,0,2.5430760157142904,0.9040289723856949,2209,1997,212,5,2026-04-06T19:45:15Z
Chicago Blackhawks,CHI,20012002,2,32,2,1476,216,384,600,79,1220,54,4,41,3,2271,0.095112285336856,90,82,41,28,0,2.433702360075501,0.9025096525096525,2072,1870,202,6,2026-04-06T19:45:15Z
Colorado Avalanche,COL,20012002,2,31,2,1476,212,363,575,96,967,62,7,45,4,2252,0.0941385435168739,84,82,45,29,0,1.9245576106435702,0.9266266728195662,2167,2008,159,11,2026-04-06T19:45:16Z
Columbus Blue Jackets,CBJ,20012002,2,34,3,1476,164,274,438,-445,1182,50,3,22,2,2046,0.0801564027370479,89,82,22,52,0,2.979280276397547,0.9,2460,2214,246,3,2026-04-06T19:45:16Z
Dallas Stars,DAL,20012002,2,36,2,1476,215,362,577,3,925,60,7,36,3,2335,0.09207708779443255,91,82,36,33,0,2.4788333171776866,0.9031954887218046,2128,1922,206,3,2026-04-06T19:45:16Z
Detroit Red Wings,DET,20012002,2,27,2,1476,251,431,682,184,1035,73,9,51,10,2538,0.09889676910953507,85,82,51,21,0,2.2249393653911684,0.9142327306444136,2157,1972,185,6,2026-04-06T19:45:17Z
Edmonton Oilers,EDM,20012002,2,27,3,1476,205,342,547,102,1259,51,12,38,3,2256,0.09086879432624113,87,82,38,32,0,2.1382406829484366,0.9163120567375886,2115,1938,177,8,2026-04-06T19:45:17Z
Florida Panthers,FLA,20012002,2,38,3,1475,180,298,478,-230,1966,50,8,22,0,2205,0.08163265306122448,95,82,22,50,0,2.9287577656455905,0.90895410082769,2658,2416,242,5,2026-04-06T19:45:17Z
Los Angeles Kings,LAK,20012002,2,33,2,1476,214,374,588,-2,1309,73,5,40,3,2110,0.1014218009478673,90,82,40,31,0,2.2389263910927037,0.9095796676441837,2046,1861,185,8,2026-04-06T19:45:18Z
Minnesota Wild,MIN,20012002,2,30,3,1476,195,329,524,-193,1181,55,11,26,0,1954,0.09979529170931423,90,82,26,44,0,2.8468563458670197,0.8967770034843205,2296,2059,237,6,2026-04-06T19:45:18Z
Montréal Canadiens,MTL,20012002,2,35,5,1476,207,349,556,-56,946,45,7,36,2,2092,0.09894837476099426,90,82,36,34,0,2.4151348450288475,0.9227202472952086,2588,2388,200,7,2026-04-06T19:45:18Z
Nashville Predators,NSH,20012002,2,38,3,1476,196,324,520,-169,1045,48,6,28,5,2019,0.09707776126795443,90,82,28,41,0,2.6954340797147434,0.9033376679670568,2307,2084,223,5,2026-04-06T19:45:19Z
New Jersey Devils,NJD,20012002,2,33,4,1476,205,349,554,77,980,44,2,41,6,2445,0.08384458077709611,86,82,41,32,0,2.1647406611126043,0.9053911205073996,1892,1713,179,4,2026-04-06T19:45:19Z
New York Islanders,NYI,20012002,2,36,2,1473,239,398,637,39,1217,59,17,42,6,2319,0.1030616645105649,91,82,42,32,0,2.5525908999260705,0.9072934973637962,2276,2065,211,6,2026-04-06T19:45:19Z
New York Rangers,NYR,20012002,2,36,3,1475,227,385,612,-7,1729,48,8,36,5,2392,0.09489966555183947,87,82,36,42,0,3.059964786119525,0.9035222052067381,2612,2360,252,2,2026-04-06T19:45:20Z
Ottawa Senators,OTT,20012002,2,31,4,1475,243,382,625,127,1295,55,11,39,3,2469,0.09842041312272175,88,82,39,34,0,2.4716414311406725,0.9034385303815355,2123,1918,205,10,2026-04-06T19:45:20Z
Philadelphia Flyers,PHI,20012002,2,32,3,1476,234,386,620,204,1202,39,8,42,3,2442,0.09582309582309582,88,82,42,30,0,2.2388436003025465,0.9132270168855535,2132,1947,185,6,2026-04-06T19:45:20Z
Phoenix Coyotes,PHX,20012002,2,35,3,1476,228,380,608,106,1106,53,8,40,4,2179,0.10463515374024782,87,82,40,33,0,2.4607631582474436,0.912932138284251,2343,2139,204,6,2026-04-06T19:45:21Z
Pittsburgh Penguins,PIT,20012002,2,34,2,1475,198,340,538,-216,1210,47,5,28,7,2215,0.08939051918735892,87,82,28,46,0,2.933099972841667,0.8982412060301508,2388,2145,243,6,2026-04-06T19:45:21Z
San Jose Sharks,SJS,20012002,2,25,3,1475,247,408,655,201,1223,58,15,44,2,2227,0.11091154018859452,88,82,44,30,0,2.328574219934374,0.9175257731958762,2328,2136,192,9,2026-04-06T19:45:21Z
