Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20002001,2,31,4,1476,188,321,509,-266,1114,66,6,25,4,2123,0.08855393311351861,90,82,25,46,0,2.8975689262562,0.900497512437811,2412,2172,240,6,2026-04-06T19:45:00Z
Atlanta Thrashers,ATL,20002001,2,36,4,1476,211,349,560,-223,1472,54,9,23,2,2291,0.092099519860323,94,82,23,47,0,3.3848788596181936,0.8941798941798942,2646,2366,280,2,2026-04-06T19:45:00Z
Boston Bruins,BOS,20002001,2,36,5,1474,227,386,613,-115,1299,64,8,36,4,2359,0.09622721492157695,100,82,36,38,0,2.9065618749937183,0.8896014658726523,2183,1942,241,2,2026-04-06T19:45:00Z
Buffalo Sabres,BUF,20002001,2,25,4,1476,218,379,597,57,1219,60,6,46,4,2204,0.09891107078039928,88,82,46,31,0,2.2023855797147984,0.9174270072992701,2192,2011,181,13,2026-04-06T19:45:01Z
Calgary Flames,CGY,20002001,2,33,2,1476,197,345,542,-151,1344,65,3,27,3,2230,0.08834080717488789,90,82,27,40,0,2.7308088166495126,0.8975169300225734,2215,1988,227,8,2026-04-06T19:45:01Z
Carolina Hurricanes,CAR,20002001,2,25,2,1474,212,367,579,-203,1067,72,6,38,6,2217,0.09562471808750564,89,82,38,35,0,2.623571845970943,0.9012738853503185,2198,1981,217,6,2026-04-06T19:45:01Z
Chicago Blackhawks,CHI,20002001,2,32,4,1476,210,344,554,-137,971,41,15,29,2,2160,0.09722222222222222,87,82,29,45,0,2.877205000856311,0.8909257561869844,2182,1944,238,6,2026-04-06T19:45:02Z
Colorado Avalanche,COL,20002001,2,30,2,1475,270,465,735,266,1112,80,11,52,6,2395,0.1127348643006263,88,82,52,20,0,2.2181665969024698,0.9102876645538761,2051,1867,184,7,2026-04-06T19:45:02Z
Columbus Blue Jackets,CBJ,20002001,2,37,2,1476,190,303,493,-155,1210,56,3,28,3,2082,0.09125840537944284,85,82,28,45,0,2.734311985804162,0.9084278768233387,2468,2242,226,4,2026-04-06T19:45:03Z
Dallas Stars,DAL,20002001,2,30,2,1476,241,411,652,143,1015,72,7,48,6,2100,0.11476190476190476,89,82,48,26,0,2.228974651470336,0.9098039215686274,2040,1856,184,11,2026-04-06T19:45:03Z
Detroit Red Wings,DET,20002001,2,26,2,1476,253,428,681,93,1050,85,10,49,10,2650,0.09547169811320755,91,82,49,24,0,2.4142683258055104,0.9098693105002253,2219,2019,200,3,2026-04-06T19:45:03Z
Edmonton Oilers,EDM,20002001,2,30,3,1476,243,410,653,111,1271,59,13,39,5,2145,0.11328671328671329,86,82,39,31,0,2.594338041576446,0.899155722326454,2132,1917,215,8,2026-04-06T19:45:04Z
Florida Panthers,FLA,20002001,2,36,2,1475,200,332,532,-153,1491,46,8,22,2,2170,0.09216589861751152,89,82,22,47,0,2.854151264664657,0.9070588235294118,2550,2313,237,6,2026-04-06T19:45:04Z
Los Angeles Kings,LAK,20002001,2,32,5,1476,252,433,685,106,1168,71,14,38,3,2288,0.11013986013986014,90,82,38,31,0,2.644590397091085,0.898186889818689,2151,1932,219,10,2026-04-06T19:45:04Z
Minnesota Wild,MIN,20002001,2,34,4,1476,168,280,448,-125,1162,36,13,25,4,2020,0.08316831683168317,85,82,25,44,0,2.4769125432107013,0.9105514546244029,2303,2097,206,6,2026-04-06T19:45:05Z
Montréal Canadiens,MTL,20002001,2,42,4,1476,205,346,551,-182,996,68,5,28,2,2147,0.09548206800186307,91,82,28,46,0,2.70459660139879,0.902534965034965,2288,2065,223,4,2026-04-06T19:45:05Z
Nashville Predators,NSH,20002001,2,32,3,1476,186,319,505,-95,932,51,7,34,5,2182,0.08524289642529789,86,82,34,39,0,2.3481234176896,0.9171294318667236,2341,2147,194,6,2026-04-06T19:45:05Z
New Jersey Devils,NJD,20002001,2,30,3,1476,295,515,810,370,1203,71,9,48,5,2588,0.11398763523956723,86,82,48,22,0,2.3208428253622557,0.9045499505440159,2022,1829,193,10,2026-04-06T19:45:06Z
New York Islanders,NYI,20002001,2,33,4,1473,185,307,492,-285,1307,51,9,21,2,2257,0.08196721311475409,92,82,21,54,0,3.1256545563881324,0.8914237431347698,2367,2110,257,2,2026-04-06T19:45:06Z
New York Rangers,NYR,20002001,2,36,6,1475,250,424,674,-114,1502,65,16,33,5,2345,0.10660980810234541,88,82,33,44,0,3.4433227320812363,0.889797507788162,2568,2285,283,0,2026-04-06T19:45:06Z
Ottawa Senators,OTT,20002001,2,32,3,1473,274,461,735,219,1050,71,10,48,3,2476,0.11066235864297254,83,82,48,25,0,2.394276309159921,0.9111310592459605,2228,2030,198,9,2026-04-06T19:45:07Z
Philadelphia Flyers,PHI,20002001,2,33,3,1476,240,397,637,151,1169,55,11,43,5,2452,0.09787928221859707,88,82,43,28,0,2.3871160035230723,0.9072599531615925,2135,1937,198,11,2026-04-06T19:45:07Z
Phoenix Coyotes,PHX,20002001,2,31,2,1476,214,363,577,34,1307,57,9,35,3,2055,0.10413625304136254,87,82,35,30,0,2.4751929989686694,0.915016501650165,2424,2218,206,6,2026-04-06T19:45:07Z
