Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20022003,2,31,2,1476,203,354,557,-38,926,56,8,40,6,2246,0.09038290293855744,87,82,40,33,0,2.2176022176022174,0.9222972972972973,2368,2184,184,9,2026-04-06T19:45:28Z
Atlanta Thrashers,ATL,20022003,2,37,4,1474,226,362,588,-293,1221,64,8,31,7,2163,0.10448451225150254,92,82,31,44,0,3.355517929288696,0.8925396211828373,2587,2309,278,2,2026-04-06T19:45:28Z
Boston Bruins,BOS,20022003,2,33,5,1475,245,407,652,53,1334,59,10,36,6,2636,0.09294385432473444,86,82,36,35,0,2.822110552763819,0.8990944372574385,2319,2085,234,2,2026-04-06T19:45:29Z
Buffalo Sabres,BUF,20022003,2,35,3,1476,190,323,513,-144,1234,51,8,27,3,2345,0.08102345415778252,85,82,27,45,0,2.5456361241718137,0.90782000873744,2289,2078,211,6,2026-04-06T19:45:29Z
Calgary Flames,CGY,20022003,2,33,2,1476,186,311,497,-133,1341,47,5,29,6,2341,0.07945322511747116,87,82,29,40,0,2.671203345020405,0.8998194945848376,2216,1994,222,4,2026-04-06T19:45:29Z
Carolina Hurricanes,CAR,20022003,2,37,3,1476,171,286,457,-279,1186,58,6,22,2,2414,0.07083678541839271,87,82,22,49,0,2.8118683101636903,0.8997849462365591,2325,2092,233,5,2026-04-06T19:45:29Z
Chicago Blackhawks,CHI,20022003,2,33,4,1476,207,349,556,-15,1151,39,8,30,4,2279,0.09082931110136025,87,82,30,39,0,2.6610475617098133,0.9055555555555556,2340,2119,221,9,2026-04-06T19:45:30Z
Colorado Avalanche,COL,20022003,2,31,2,1475,251,448,699,250,1036,68,5,42,7,2386,0.10519698239731769,85,82,42,27,0,2.242325730121509,0.9192573402417962,2316,2129,187,6,2026-04-06T19:45:30Z
Columbus Blue Jackets,CBJ,20022003,2,32,2,1475,213,362,575,-317,1469,71,12,29,4,2143,0.09939337377508166,88,82,29,45,0,3.1318122121866594,0.9017823284034888,2637,2378,259,5,2026-04-06T19:45:30Z
Dallas Stars,DAL,20022003,2,29,3,1476,245,413,658,304,1122,62,9,46,5,2466,0.09935117599351176,88,82,46,21,0,1.9915950423413906,0.9198067632850242,2070,1904,166,11,2026-04-06T19:45:31Z
Detroit Red Wings,DET,20022003,2,26,2,1476,269,458,727,208,1182,76,11,48,7,2441,0.11020073740270381,86,82,48,24,0,2.401343465188229,0.9155706406448876,2357,2158,199,5,2026-04-06T19:45:31Z
Edmonton Oilers,EDM,20022003,2,32,2,1476,231,397,628,15,1181,56,13,36,7,2292,0.10078534031413612,87,82,36,35,0,2.678884265392406,0.9004908522980812,2241,2018,223,7,2026-04-06T19:45:31Z
Florida Panthers,FLA,20022003,2,36,2,1476,176,286,462,-227,1095,49,7,24,4,2229,0.07895917451772096,93,82,24,45,0,2.7580693514539822,0.9153789551140544,2718,2488,230,7,2026-04-06T19:45:32Z
Los Angeles Kings,LAK,20022003,2,40,3,1472,203,340,543,-51,1084,52,8,33,6,2272,0.08934859154929578,93,82,33,43,0,2.577202964863998,0.900562851782364,2132,1920,212,7,2026-04-06T19:45:32Z
Minnesota Wild,MIN,20022003,2,30,3,1476,198,325,523,41,1025,52,9,42,8,2086,0.09491850431447747,86,82,42,30,0,2.1306832431058753,0.9241645244215938,2334,2157,177,6,2026-04-06T19:45:32Z
Montréal Canadiens,MTL,20022003,2,29,3,1476,206,345,551,-75,872,44,2,30,2,2119,0.09721566776781501,83,82,30,44,0,2.731695524733327,0.9153558052434457,2670,2444,226,4,2026-04-06T19:45:33Z
Nashville Predators,NSH,20022003,2,38,5,1476,183,301,484,-97,921,58,2,27,5,2316,0.07901554404145078,89,82,27,42,0,2.4212329683861125,0.910547396528705,2247,2046,201,3,2026-04-06T19:45:33Z
New Jersey Devils,NJD,20022003,2,29,2,1475,216,368,584,224,910,36,7,46,8,2601,0.08304498269896193,84,82,46,26,0,1.948670313183931,0.9160186625194401,1929,1767,162,10,2026-04-06T19:45:33Z
New York Islanders,NYI,20022003,2,33,3,1474,224,388,612,-13,1176,58,12,35,5,2427,0.092295014421096,90,82,35,36,0,2.632611780333907,0.9054229934924078,2305,2087,218,3,2026-04-06T19:45:34Z
New York Rangers,NYR,20022003,2,37,4,1476,210,341,551,-18,1292,55,8,32,6,2465,0.08519269776876268,89,82,32,40,0,2.696176386626589,0.9077750206782464,2418,2195,223,6,2026-04-06T19:45:34Z
Ottawa Senators,OTT,20022003,2,31,3,1474,263,457,720,233,1107,83,4,52,7,2441,0.1077427283900041,88,82,52,22,0,2.1883028562792806,0.9109251968503937,2032,1851,181,8,2026-04-06T19:45:34Z
Philadelphia Flyers,PHI,20022003,2,39,2,1476,211,345,556,223,959,47,8,45,6,2537,0.08316909735908554,88,82,45,24,0,1.948370845262873,0.9196029776674938,2015,1853,162,8,2026-04-06T19:45:35Z
Phoenix Coyotes,PHX,20022003,2,34,5,1476,204,359,563,-29,1403,55,4,31,4,2297,0.08881149325206791,89,82,31,40,0,2.66779333655239,0.9097590853409555,2449,2228,221,3,2026-04-06T19:45:35Z
Pittsburgh Penguins,PIT,20022003,2,42,3,1474,189,331,520,-380,1067,66,3,27,3,2079,0.09090909090909091,86,82,27,49,0,2.993596692634513,0.9022556390977443,2527,2280,247,4,2026-04-06T19:45:35Z
San Jose Sharks,SJS,20022003,2,33,3,1474,214,368,582,-129,1072,68,5,28,2,2303,0.09292227529309596,88,82,28,45,0,2.805000100754314,0.9027253668763102,2385,2153,232,5,2026-04-06T19:45:36Z
St. Louis Blues,STL,20022003,2,34,7,1474,253,445,698,89,1600,80,11,41,6,2301,0.1099521946979574,94,82,41,30,0,2.5841950098994033,0.8946078431372549,2040,1825,215,8,2026-04-06T19:45:36Z
Tampa Bay Lightning,TBL,20022003,2,26,4,1476,219,385,604,-37,1028,70,6,36,2,2395,0.09144050104384134,90,82,36,30,0,2.434174369223083,0.9113924050632911,2291,2088,203,6,2026-04-06T19:45:36Z
Toronto Maple Leafs,TOR,20022003,2,33,3,1474,236,409,645,84,1344,63,11,44,7,2152,0.10966542750929369,84,82,44,31,0,2.4643551033693614,0.9156676312525837,2419,2215,204,7,2026-04-06T19:45:37Z
Vancouver Canucks,VAN,20022003,2,32,4,1476,264,454,718,142,1118,87,12,45,5,2388,0.11055276381909548,88,82,45,24,0,2.4247623324095824,0.9077134986225895,2178,1977,201,4,2026-04-06T19:45:37Z
Washington Capitals,WSH,20022003,2,33,3,1475,224,399,623,87,1246,57,8,39,6,2223,0.1007647323436797,88,82,39,35,0,2.571419948289912,0.9129546383326522,2447,2234,213,4,2026-04-06T19:45:38Z
