Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,19961997,2,36,3,1476,245,416,661,78,1680,56,9,36,3,2331,0.10510510510510511,92,82,36,33,0,2.73898223281349,0.9153616703952274,2682,2455,227,6,2026-04-06T19:44:07Z
Boston Bruins,BOS,19961997,2,38,6,1473,234,392,626,-295,1365,46,15,26,3,2427,0.09641532756489493,97,82,26,47,0,3.5447598179899584,0.8791254125412541,2424,2131,293,3,2026-04-06T19:44:07Z
Buffalo Sabres,BUF,19961997,2,28,3,1476,237,391,628,214,1794,43,16,40,5,2090,0.11339712918660287,83,82,40,30,0,2.4313182679866396,0.925789860396767,2722,2520,202,5,2026-04-06T19:44:08Z
Calgary Flames,CGY,19961997,2,35,3,1476,214,344,558,-160,1410,61,11,32,3,2571,0.08323609490470633,93,82,32,41,0,2.819761187607573,0.9000429000429,2331,2098,233,6,2026-04-06T19:44:08Z
Chicago Blackhawks,CHI,19961997,2,31,4,1476,223,369,592,132,1717,45,5,34,1,2491,0.08952228020875151,83,82,34,35,0,2.449160153893588,0.9156976744186046,2408,2205,203,3,2026-04-06T19:44:08Z
Colorado Avalanche,COL,19961997,2,28,3,1476,277,462,739,138,1320,83,14,49,3,2619,0.1057655593738068,86,82,49,24,0,2.408326273750454,0.9194658033184946,2471,2272,199,8,2026-04-06T19:44:09Z
Dallas Stars,DAL,19961997,2,27,3,1476,252,429,681,283,1295,46,11,48,4,2439,0.1033210332103321,89,82,48,26,0,2.3560130352630044,0.9060240963855422,2075,1880,195,6,2026-04-06T19:44:09Z
Detroit Red Wings,DET,19961997,2,29,3,1476,253,432,685,164,1529,66,10,38,7,2726,0.09280997798972854,86,82,38,26,0,2.3092416195268513,0.9068083051665862,2071,1878,193,7,2026-04-06T19:44:09Z
Edmonton Oilers,EDM,19961997,2,32,2,1475,252,404,656,-48,1326,73,9,36,1,2521,0.09996033320111067,91,82,36,37,0,2.910188679245283,0.9054901960784314,2550,2309,241,7,2026-04-06T19:44:10Z
Florida Panthers,FLA,19961997,2,31,2,1476,221,378,599,99,1587,50,5,35,3,2387,0.09258483452031839,87,82,35,28,0,2.3156191562446122,0.91755206119847,2353,2159,194,2,2026-04-06T19:44:10Z
Hartford Whalers,HFD,19961997,2,36,3,1475,226,353,579,-204,1463,58,12,32,3,2435,0.09281314168377823,90,82,32,39,0,3.006207597347937,0.9033385093167702,2576,2327,249,4,2026-04-06T19:44:10Z
Los Angeles Kings,LAK,19961997,2,35,4,1475,214,340,554,-284,1628,46,5,28,0,2379,0.08995376208490963,90,82,28,43,0,3.129814809220265,0.9064981949458484,2770,2511,259,4,2026-04-06T19:44:11Z
Montréal Canadiens,MTL,19961997,2,33,4,1462,249,431,680,-62,1445,53,10,31,2,2474,0.10064672594987874,95,82,31,36,0,3.257287663640643,0.9023423423423423,2775,2504,271,1,2026-04-06T19:44:11Z
New Jersey Devils,NJD,19961997,2,32,3,1476,231,390,621,172,1121,40,4,45,1,2593,0.08908600077130736,96,82,45,23,0,2.11637383926782,0.9182915506035283,2154,1978,176,12,2026-04-06T19:44:11Z
New York Islanders,NYI,19961997,2,36,3,1475,240,371,611,-50,1616,48,14,29,3,2188,0.10968921389396709,93,82,29,41,0,2.923068147884701,0.9021431459765467,2473,2231,242,5,2026-04-06T19:44:12Z
New York Rangers,NYR,19961997,2,34,2,1469,258,432,690,138,1459,63,15,38,3,2528,0.10205696202531646,84,82,38,34,0,2.663939940263165,0.9146294140473419,2577,2357,220,5,2026-04-06T19:44:12Z
Ottawa Senators,OTT,19961997,2,28,3,1476,226,365,591,-88,1075,56,9,31,0,2397,0.09428452231956612,88,82,31,36,0,2.7729775348631596,0.8911500236630383,2113,1883,230,4,2026-04-06T19:44:12Z
Philadelphia Flyers,PHI,19961997,2,31,2,1476,274,454,728,251,1618,53,11,45,3,2644,0.10363086232980333,90,82,45,24,0,2.542806929450163,0.8995716325559258,2101,1890,211,7,2026-04-06T19:44:12Z
Phoenix Coyotes,PHX,19961997,2,34,4,1476,240,398,638,-121,1546,65,9,38,5,2467,0.09728415079043372,91,82,38,37,0,2.8419875100359784,0.9064490445859873,2512,2277,235,8,2026-04-06T19:44:13Z
Pittsburgh Penguins,PIT,19961997,2,38,4,1476,285,495,780,-53,1480,74,11,38,1,2414,0.11806130903065451,92,82,38,36,0,3.2588175513102238,0.9039628704034274,2801,2532,269,5,2026-04-06T19:44:13Z
San Jose Sharks,SJS,19961997,2,32,4,1475,211,330,541,-270,2071,50,9,27,3,2360,0.08940677966101696,90,82,27,47,0,3.2625614004352776,0.8874005860192549,2389,2120,269,1,2026-04-06T19:44:14Z
St. Louis Blues,STL,19961997,2,37,2,1476,236,384,620,-2,1306,50,9,36,1,2415,0.09772256728778468,88,82,36,35,0,2.8140285428646195,0.8959356855739169,2239,2006,233,3,2026-04-06T19:44:14Z
Tampa Bay Lightning,TBL,19961997,2,30,4,1476,217,350,567,-129,1652,47,13,32,4,2574,0.0843045843045843,97,82,32,40,0,2.8741647210369536,0.898981324278438,2356,2118,238,6,2026-04-06T19:44:14Z
Toronto Maple Leafs,TOR,19961997,2,42,3,1474,230,361,591,-176,1300,48,11,30,1,2401,0.09579341940857976,90,82,30,44,0,3.2140691328077624,0.9058614564831261,2815,2550,265,1,2026-04-06T19:44:14Z
Vancouver Canucks,VAN,19961997,2,31,3,1475,257,433,690,-24,1577,51,12,35,5,2301,0.11169056931768796,89,82,35,40,0,3.246757617159895,0.8915857605177994,2472,2204,268,3,2026-04-06T19:44:15Z
Washington Capitals,WSH,19961997,2,34,3,1473,214,341,555,-82,1611,51,8,33,2,2370,0.09029535864978903,87,82,33,40,0,2.692368590380644,0.8969359331476323,2154,1932,222,3,2026-04-06T19:44:15Z
