Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20152016,2,34,3,1476,215,360,575,31,1001,56,7,43,4,2483,0.08658880386629078,92,82,46,25,11,2.2186599132472993,0.918774966711052,2253,2070,183,8,2026-04-06T19:48:33Z
Arizona Coyotes,ARI,20152016,2,35,4,1476,208,342,550,-96,995,53,4,34,5,2265,0.09183222958057395,92,82,35,39,8,2.8075029499125197,0.9089469517022961,2526,2296,230,5,2026-04-06T19:48:34Z
Boston Bruins,BOS,20152016,2,31,2,1476,236,398,634,20,919,48,9,38,5,2620,0.0900763358778626,88,82,42,31,9,2.6010243390244807,0.9135702746365105,2476,2262,214,5,2026-04-06T19:48:34Z
Buffalo Sabres,BUF,20152016,2,31,4,1476,199,319,518,-144,723,48,6,33,4,2418,0.08229942100909843,87,82,35,36,11,2.4626790227464195,0.9187675070028011,2499,2296,203,2,2026-04-06T19:48:34Z
Calgary Flames,CGY,20152016,2,36,4,1476,229,406,635,-104,738,46,10,33,9,2398,0.09549624687239366,89,82,35,40,7,2.9360604809508017,0.8979246082168573,2361,2120,241,3,2026-04-06T19:48:35Z
Carolina Hurricanes,CAR,20152016,2,30,2,1475,196,326,522,-166,544,40,3,33,8,2451,0.0799673602611179,86,82,35,31,16,2.565464385357491,0.9059032401242787,2253,2041,212,3,2026-04-06T19:48:35Z
Chicago Blackhawks,CHI,20152016,2,37,3,1476,234,399,633,57,579,57,10,46,10,2498,0.09367493995196156,88,82,47,26,9,2.4257692268622453,0.9210003969829297,2519,2320,199,8,2026-04-06T19:48:35Z
Colorado Avalanche,COL,20152016,2,32,4,1476,212,369,581,-141,746,48,7,35,2,2348,0.09028960817717206,92,82,39,39,4,2.7026842568642038,0.9163498098859315,2630,2410,220,5,2026-04-06T19:48:36Z
Columbus Blue Jackets,CBJ,20152016,2,33,4,1476,213,354,567,-133,977,43,3,28,2,2386,0.0892707460184409,90,82,34,40,8,2.7974957682808577,0.9091627172195893,2532,2302,230,1,2026-04-06T19:48:36Z
Dallas Stars,DAL,20152016,2,29,2,1476,265,428,693,106,697,58,10,48,6,2624,0.10099085365853659,91,82,50,23,9,2.7120338902889727,0.9057879171947613,2367,2144,223,5,2026-04-06T19:48:36Z
