Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20132014,2,30,4,1476,263,446,709,305,884,44,10,51,7,2569,0.10237446477228494,86,82,54,20,8,2.4052536864440923,0.9152830991911451,2349,2150,199,6,2026-04-06T19:48:03Z
Boston Bruins,BOS,20132014,2,32,3,1476,258,440,698,392,874,50,9,51,4,2612,0.09877488514548238,86,82,54,19,9,2.057239668421371,0.9286912751677853,2384,2214,170,9,2026-04-06T19:48:04Z
Buffalo Sabres,BUF,20132014,2,39,6,1474,150,249,399,-400,889,36,5,14,3,2156,0.06957328385899815,87,82,21,51,10,2.805071796480505,0.9176470588235294,2805,2574,231,0,2026-04-06T19:48:04Z
Calgary Flames,CGY,20132014,2,40,4,1476,202,352,554,-182,832,39,12,28,7,2199,0.09185993633469759,89,82,35,40,7,2.7682127692582688,0.9023972602739726,2336,2108,228,2,2026-04-06T19:48:04Z
Carolina Hurricanes,CAR,20132014,2,28,3,1476,205,328,533,-104,634,41,11,34,4,2561,0.08004685669660289,87,82,36,35,11,2.6034834204524815,0.9148851939825812,2526,2311,215,2,2026-04-06T19:48:05Z
Chicago Blackhawks,CHI,20132014,2,29,4,1476,261,451,712,218,681,50,9,40,1,2715,0.09613259668508287,89,82,46,21,15,2.4943098138974427,0.9069244604316546,2224,2017,207,3,2026-04-06T19:48:05Z
Colorado Avalanche,COL,20132014,2,28,4,1475,245,432,677,129,863,50,3,47,10,2420,0.1012396694214876,88,82,52,22,8,2.526460001074518,0.9217521527517784,2671,2462,209,4,2026-04-06T19:48:06Z
Columbus Blue Jackets,CBJ,20132014,2,31,3,1477,226,380,606,19,900,54,9,38,3,2431,0.09296585767174002,90,82,43,32,7,2.501222617582084,0.9181240063593005,2516,2310,206,7,2026-04-06T19:48:06Z
Dallas Stars,DAL,20132014,2,29,5,1476,231,390,621,34,884,46,8,36,2,2597,0.0889487870619946,89,82,40,31,11,2.602319224549217,0.9134808853118712,2485,2270,215,6,2026-04-06T19:48:06Z
Detroit Red Wings,DET,20132014,2,35,3,1475,217,362,579,-16,699,50,3,34,4,2456,0.08835504885993485,87,82,39,28,15,2.566408826527553,0.9106471816283925,2395,2181,214,4,2026-04-06T19:48:07Z
Edmonton Oilers,EDM,20132014,2,37,6,1475,199,348,547,-330,934,46,4,25,5,2208,0.0901268115942029,90,82,29,44,9,3.127228725076305,0.9043186895011169,2686,2429,257,4,2026-04-06T19:48:07Z
Florida Panthers,FLA,20132014,2,35,5,1476,188,300,488,-196,832,27,8,21,0,2451,0.07670338637290902,89,82,29,45,8,3.055299307291055,0.9004720692368214,2542,2289,253,1,2026-04-06T19:48:07Z
Los Angeles Kings,LAK,20132014,2,25,3,1476,198,335,533,179,868,43,5,38,4,2595,0.07630057803468208,87,82,46,28,8,1.990089755058145,0.9231485794131346,2147,1982,165,13,2026-04-06T19:48:08Z
Minnesota Wild,MIN,20132014,2,31,5,1476,199,360,559,50,769,45,4,35,3,2180,0.09128440366972478,90,82,43,27,12,2.2678034570337235,0.9165194346289752,2264,2075,189,8,2026-04-06T19:48:08Z
Montréal Canadiens,MTL,20132014,2,33,3,1476,209,347,556,4,1035,48,6,40,7,2330,0.08969957081545064,86,82,46,28,8,2.3561395559583143,0.9231072555205048,2536,2341,195,8,2026-04-06T19:48:08Z
Nashville Predators,NSH,20132014,2,29,5,1476,214,372,586,-98,788,46,2,36,3,2382,0.08984047019311503,92,82,38,32,12,2.7592976699936465,0.9035940803382664,2365,2137,228,5,2026-04-06T19:48:09Z
New Jersey Devils,NJD,20132014,2,30,2,1476,197,341,538,-51,628,47,9,35,9,2199,0.08958617553433379,84,82,35,29,18,2.2183300234759864,0.9114533205004812,2078,1894,184,6,2026-04-06T19:48:09Z
New York Islanders,NYI,20132014,2,34,3,1476,216,369,585,-194,1003,49,8,25,4,2537,0.08513992905005913,87,82,34,37,11,2.999568335212804,0.8984916428862617,2453,2204,249,4,2026-04-06T19:48:09Z
New York Rangers,NYR,20132014,2,31,3,1476,214,360,574,58,809,48,10,41,2,2719,0.07870540639941155,86,82,45,31,6,2.260657602879165,0.9227574750830565,2408,2222,186,8,2026-04-06T19:48:10Z
Ottawa Senators,OTT,20132014,2,27,4,1476,229,381,610,-90,1080,50,5,30,3,2691,0.08509847640282422,91,82,37,31,14,3.019074698376529,0.9116819141449684,2842,2591,251,5,2026-04-06T19:48:10Z
Philadelphia Flyers,PHI,20132014,2,27,3,1476,233,401,634,-32,1129,58,8,39,4,2490,0.09357429718875503,90,82,42,30,10,2.6556184316895717,0.9124,2500,2281,219,6,2026-04-06T19:48:10Z
Phoenix Coyotes,PHX,20132014,2,32,3,1476,209,373,582,-74,780,56,3,31,3,2497,0.08370044052863436,88,82,37,30,15,2.5536442631672283,0.9161724001581653,2529,2317,212,5,2026-04-06T19:48:11Z
Pittsburgh Penguins,PIT,20132014,2,37,2,1476,242,423,665,44,814,65,4,44,4,2454,0.09861450692746536,84,82,51,24,7,2.4296065487902334,0.9146859083191851,2356,2155,201,6,2026-04-06T19:48:11Z
San Jose Sharks,SJS,20132014,2,27,2,1476,239,423,662,144,725,50,8,41,4,2851,0.08383023500526131,88,82,51,22,9,2.2596153846153846,0.9173989455184535,2276,2088,188,6,2026-04-06T19:48:11Z
St. Louis Blues,STL,20132014,2,27,3,1476,239,417,656,164,1146,56,6,43,3,2402,0.09950041631973355,90,82,52,23,7,2.1932702221389073,0.9156235512285582,2157,1975,182,9,2026-04-06T19:48:12Z
Tampa Bay Lightning,TBL,20132014,2,33,4,1476,232,404,636,114,812,50,10,38,6,2446,0.09484873262469337,88,82,46,27,9,2.4161965710143662,0.9162829635830891,2389,2189,200,6,2026-04-06T19:48:12Z
Toronto Maple Leafs,TOR,20132014,2,33,3,1476,222,357,579,-126,1026,50,7,29,5,2290,0.09694323144104804,93,82,38,36,8,2.901587813331184,0.9181725196045005,2933,2693,240,2,2026-04-06T19:48:12Z
Vancouver Canucks,VAN,20132014,2,33,4,1476,191,322,513,-102,1101,39,6,31,6,2527,0.07558369608231104,88,82,36,35,11,2.473604826546003,0.9114853195164075,2316,2111,205,7,2026-04-06T19:48:13Z
Washington Capitals,WSH,20132014,2,35,4,1476,225,398,623,-114,935,68,5,28,4,2412,0.09328358208955224,90,82,38,30,14,2.683965105790961,0.9184268026219956,2746,2522,224,5,2026-04-06T19:48:13Z
Winnipeg Jets,WPG,20132014,2,30,3,1476,219,372,591,-18,951,40,5,29,5,2516,0.0870429252782194,88,82,37,35,10,2.73939540216014,0.9080599432968813,2469,2242,227,3,2026-04-06T19:48:13Z
