Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20112012,2,32,4,1476,201,342,543,-88,962,45,4,31,2,2291,0.08773461370580532,88,82,34,36,12,2.604341915772756,0.9088210347752332,2358,2143,215,4,2026-04-06T19:47:32Z
Boston Bruins,BOS,20112012,2,31,4,1476,260,425,685,286,1089,43,8,40,2,2653,0.09800226159065209,88,82,49,29,4,2.333955900729613,0.9207392197125257,2435,2242,193,8,2026-04-06T19:47:33Z
Buffalo Sabres,BUF,20112012,2,33,3,1476,211,363,574,-41,884,44,5,32,5,2397,0.08802670004171881,89,82,39,32,11,2.5787534016850264,0.9164715066354411,2562,2348,214,7,2026-04-06T19:47:33Z
Calgary Flames,CGY,20112012,2,37,3,1476,199,331,530,-125,865,46,3,34,2,2258,0.08813108945969884,86,82,37,29,16,2.4956881394531054,0.9177918983320096,2518,2311,207,4,2026-04-06T19:47:33Z
Carolina Hurricanes,CAR,20112012,2,29,4,1475,211,334,545,-143,747,49,12,32,3,2497,0.08450140168201842,87,82,33,33,16,2.7715209746717138,0.913421550094518,2645,2416,229,6,2026-04-06T19:47:33Z
Chicago Blackhawks,CHI,20112012,2,31,2,1476,241,419,660,84,826,42,7,38,4,2583,0.09330236159504453,91,82,45,26,11,2.7524038461538463,0.9021785561725758,2341,2112,229,0,2026-04-06T19:47:34Z
Colorado Avalanche,COL,20112012,2,31,2,1476,199,341,540,-79,886,41,5,32,7,2583,0.0770421989934185,85,82,41,35,6,2.474392717640945,0.9150787075393537,2414,2209,205,6,2026-04-06T19:47:34Z
Columbus Blue Jackets,CBJ,20112012,2,38,4,1476,198,337,535,-233,1019,49,7,25,2,2454,0.08068459657701711,94,82,29,46,7,2.9782104399444878,0.902970297029703,2525,2280,245,2,2026-04-06T19:47:35Z
Dallas Stars,DAL,20112012,2,30,3,1476,204,363,567,18,1008,33,5,35,4,2314,0.0881590319792567,87,82,42,35,5,2.540689682985109,0.9166335847558555,2519,2309,210,5,2026-04-06T19:47:35Z
Detroit Red Wings,DET,20112012,2,29,3,1475,239,422,661,212,669,48,2,39,3,2638,0.09059893858984079,86,82,48,28,6,2.317720907774022,0.9128856624319419,2204,2012,192,7,2026-04-06T19:47:35Z
Edmonton Oilers,EDM,20112012,2,34,3,1474,207,357,564,-136,922,54,5,27,2,2186,0.09469350411710888,88,82,32,40,10,2.6686164638810173,0.9122106943335994,2506,2286,220,4,2026-04-06T19:47:36Z
Florida Panthers,FLA,20112012,2,37,4,1476,197,338,535,-107,760,53,4,32,1,2433,0.08096999588984792,91,82,38,26,18,2.5062790217384063,0.9163330664531625,2498,2289,209,4,2026-04-06T19:47:36Z
