Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20062007,2,31,4,1476,254,450,704,131,1427,89,4,44,5,2582,0.0983733539891557,88,82,48,20,14,2.3479124650070737,0.9131403118040089,2245,2050,195,5,2026-04-06T19:46:21Z
Atlanta Thrashers,ATL,20062007,2,30,2,1476,239,395,634,33,1059,67,9,36,7,2438,0.09803117309269893,89,82,43,28,11,2.812913221760675,0.909126213592233,2575,2341,234,4,2026-04-06T19:46:21Z
Boston Bruins,BOS,20062007,2,36,5,1474,210,361,571,-328,1224,71,8,26,4,2370,0.08860759493670886,95,82,35,41,6,3.3185951950764117,0.8995617238860482,2738,2463,275,3,2026-04-06T19:46:22Z
Buffalo Sabres,BUF,20062007,2,30,3,1474,298,532,830,299,1153,71,8,43,5,2417,0.12329333884981382,87,82,53,22,7,2.8278992652810184,0.9074438755415518,2539,2304,235,2,2026-04-06T19:46:22Z
Calgary Flames,CGY,20062007,2,32,2,1476,255,446,701,191,1164,73,15,40,2,2242,0.11373773416592328,83,82,43,29,10,2.58081887484644,0.9145950280673617,2494,2281,213,7,2026-04-06T19:46:22Z
Carolina Hurricanes,CAR,20062007,2,28,2,1474,241,425,666,-84,999,67,12,40,6,2559,0.09417741305197343,88,82,40,34,8,2.904627350894783,0.8972926514825956,2327,2088,239,2,2026-04-06T19:46:23Z
Chicago Blackhawks,CHI,20062007,2,41,4,1475,195,324,519,-112,1308,43,12,25,3,2201,0.08859609268514311,88,82,31,42,9,2.9299594406441067,0.8991246352646937,2399,2157,242,3,2026-04-06T19:46:23Z
Colorado Avalanche,COL,20062007,2,28,2,1476,267,469,736,42,858,79,7,39,3,2603,0.10257395313100269,90,82,44,31,7,2.8868508123479586,0.8995356690586745,2369,2131,238,3,2026-04-06T19:46:23Z
Columbus Blue Jackets,CBJ,20062007,2,33,5,1476,196,337,533,-140,1329,65,6,28,4,2273,0.086229652441707,95,82,33,42,7,2.8996252460165537,0.8978632478632479,2340,2101,239,4,2026-04-06T19:46:24Z
Dallas Stars,DAL,20062007,2,31,2,1476,217,383,600,12,1091,79,3,41,6,2295,0.09455337690631808,90,82,50,25,7,2.2301695732540385,0.9108433734939759,2075,1890,185,9,2026-04-06T19:46:24Z
Detroit Red Wings,DET,20062007,2,29,3,1476,252,428,680,264,932,68,12,48,3,2771,0.09094189823168532,85,82,50,19,13,2.257636122177955,0.9072420634920635,2016,1829,187,8,2026-04-06T19:46:24Z
Edmonton Oilers,EDM,20062007,2,33,2,1471,192,333,525,-251,1251,53,6,29,1,2193,0.08755129958960328,90,82,32,43,7,2.8271421898166014,0.9043693322341303,2426,2194,232,4,2026-04-06T19:46:24Z
Florida Panthers,FLA,20062007,2,31,3,1476,245,414,659,58,1151,61,5,33,3,2730,0.08974358974358974,90,82,35,31,16,2.9176057682325243,0.8989561586638831,2395,2153,242,2,2026-04-06T19:46:25Z
Los Angeles Kings,LAK,20062007,2,37,5,1476,223,403,626,-223,1184,81,6,23,2,2542,0.08772619984264358,94,82,27,41,14,3.2591685148974694,0.889391447368421,2432,2163,269,3,2026-04-06T19:46:25Z
Minnesota Wild,MIN,20062007,2,29,3,1476,225,385,610,66,836,72,9,38,7,2431,0.0925545043192102,92,82,48,26,8,2.1920907714575675,0.9224576271186441,2360,2177,183,8,2026-04-06T19:46:25Z
