Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20222023,2,33,4,1476,206,351,557,-441,887,36,1,20,7,2326,0.0885640584694755,92,82,23,47,12,3.9138337260181757,0.8992175273865415,3195,2873,323,1,2026-04-06T19:50:18Z
Arizona Coyotes,ARI,20222023,2,34,3,1474,225,384,609,-164,934,45,5,25,5,2119,0.10618216139688533,84,82,28,40,14,3.454871166305241,0.9008379888268156,2864,2580,285,4,2026-04-06T19:50:18Z
Boston Bruins,BOS,20222023,2,34,3,1476,300,515,815,487,843,62,8,61,7,2702,0.11102886750555144,87,82,65,12,5,2.0342745665225945,0.931175747644408,2441,2273,168,6,2026-04-06T19:50:19Z
Buffalo Sabres,BUF,20222023,2,29,4,1475,293,484,777,-65,592,63,9,39,9,2665,0.1099437148217636,85,82,42,33,7,3.399949405514799,0.8963980690679539,2693,2414,280,2,2026-04-06T19:50:19Z
Calgary Flames,CGY,20222023,2,29,3,1476,258,440,698,39,721,50,8,36,5,2948,0.08751696065128901,87,82,38,27,17,2.894250855257183,0.8938647559337215,2233,1996,239,1,2026-04-06T19:50:19Z
Carolina Hurricanes,CAR,20222023,2,25,3,1476,262,424,686,182,602,50,11,48,9,2852,0.09186535764375876,85,82,52,21,9,2.3881200121224366,0.9070754716981132,2120,1923,197,9,2026-04-06T19:50:20Z
Chicago Blackhawks,CHI,20222023,2,38,6,1476,202,329,531,-433,669,38,7,24,6,2209,0.09144409234947941,89,82,26,49,7,3.3907722748124707,0.8984289367921081,2737,2459,278,2,2026-04-06T19:50:20Z
Colorado Avalanche,COL,20222023,2,38,5,1476,274,467,741,166,659,64,6,45,9,2727,0.10047671433810047,84,82,51,24,7,2.5559750459308312,0.9168975069252078,2527,2317,211,6,2026-04-06T19:50:20Z
Columbus Blue Jackets,CBJ,20222023,2,41,6,1475,213,351,564,-502,640,41,5,24,9,2399,0.08878699458107545,95,82,25,48,9,3.8431558613210424,0.8916955017301038,2890,2577,315,0,2026-04-06T19:50:20Z
Dallas Stars,DAL,20222023,2,28,3,1476,281,458,739,212,621,64,10,43,4,2617,0.10737485670615209,86,82,47,21,14,2.485509613668282,0.9164961113385182,2443,2239,205,6,2026-04-06T19:50:21Z
