Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20032004,2,32,3,1476,184,312,496,-159,1109,56,5,29,4,2438,0.07547169811320754,88,82,29,43,0,2.4872468230251443,0.9154351395730707,2436,2230,206,5,2026-04-06T19:45:43Z
Atlanta Thrashers,ATL,20032004,2,37,3,1475,214,366,580,-169,1436,60,11,33,6,2141,0.09995329285380664,86,82,33,41,0,2.7750568038374146,0.9044639132248644,2397,2168,229,4,2026-04-06T19:45:43Z
Boston Bruins,BOS,20032004,2,35,2,1476,209,341,550,145,1178,48,7,41,8,2500,0.0836,85,82,41,26,0,2.196803624195351,0.9191564147627417,2276,2092,184,7,2026-04-06T19:45:43Z
Buffalo Sabres,BUF,20032004,2,31,3,1476,219,358,577,-33,1251,58,7,37,2,2300,0.09521739130434782,90,82,37,38,0,2.6325012131341996,0.9071061643835616,2336,2119,217,4,2026-04-06T19:45:44Z
Calgary Flames,CGY,20032004,2,29,4,1476,200,334,534,88,1367,54,11,42,3,2248,0.08896797153024912,86,82,42,33,0,2.037715252204324,0.9193083573487032,2082,1914,168,11,2026-04-06T19:45:44Z
Carolina Hurricanes,CAR,20032004,2,31,3,1474,172,283,455,-73,1078,41,9,28,5,2394,0.07184628237259816,90,82,28,40,0,2.4171323777487532,0.9061624649859944,2142,1941,201,6,2026-04-06T19:45:44Z
Chicago Blackhawks,CHI,20032004,2,36,6,1474,188,324,512,-330,1292,55,5,20,4,2401,0.07830070803831737,86,82,20,51,0,2.9885018996133828,0.901195219123506,2510,2262,248,4,2026-04-06T19:45:45Z
Colorado Avalanche,COL,20032004,2,36,3,1475,236,417,653,92,1259,74,7,40,8,2410,0.0979253112033195,84,82,40,29,0,2.2950447593807786,0.9176013805004314,2318,2127,191,4,2026-04-06T19:45:45Z
Columbus Blue Jackets,CBJ,20032004,2,40,3,1476,177,294,471,-356,1175,58,5,25,6,2280,0.07763157894736843,89,82,25,49,0,2.755120536523473,0.912743972445465,2613,2385,228,5,2026-04-06T19:45:45Z
Dallas Stars,DAL,20032004,2,34,3,1476,194,343,537,52,1091,52,5,41,3,2196,0.0883424408014572,85,82,41,28,0,2.0415148281624353,0.9108649789029536,1896,1727,169,10,2026-04-06T19:45:46Z
Detroit Red Wings,DET,20032004,2,30,4,1476,255,430,685,205,940,63,15,48,7,2484,0.10265700483091787,88,82,48,23,0,2.207249615540538,0.9146853146853147,2145,1962,183,7,2026-04-06T19:45:46Z
Edmonton Oilers,EDM,20032004,2,29,4,1476,221,362,583,160,1177,44,13,36,6,2332,0.09476843910806175,90,82,36,34,0,2.4699787140045784,0.9056169429097606,2172,1967,205,4,2026-04-06T19:45:46Z
Florida Panthers,FLA,20032004,2,39,2,1476,188,304,492,-187,1162,52,7,28,5,2273,0.08271007479102507,88,82,28,39,0,2.576235365719082,0.924140375753279,2821,2607,214,7,2026-04-06T19:45:47Z
Los Angeles Kings,LAK,20032004,2,38,4,1476,205,358,563,4,1151,50,9,28,2,2349,0.08727117922520221,93,82,28,38,0,2.4926244807032334,0.9060372219700409,2203,1996,207,8,2026-04-06T19:45:47Z
Minnesota Wild,MIN,20032004,2,31,2,1476,188,312,500,-1,981,46,7,30,1,1982,0.09485368314833502,85,82,30,32,0,2.1422516248067685,0.9247583018074821,2379,2200,179,7,2026-04-06T19:45:47Z
Montréal Canadiens,MTL,20032004,2,32,2,1476,208,351,559,66,1017,55,5,41,5,2270,0.09162995594713656,86,82,41,34,0,2.2723915174794183,0.9196581196581196,2340,2152,188,6,2026-04-06T19:45:48Z
Nashville Predators,NSH,20032004,2,37,2,1476,216,371,587,-64,1293,72,14,38,7,2227,0.09699146834306241,90,82,38,33,0,2.4774079196487317,0.9117520447696944,2323,2118,205,4,2026-04-06T19:45:48Z
