Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,19931994,2,31,3,1512,229,359,588,-67,1479,54,9,33,2,2402,0.09533721898417985,90,84,33,46,0,2.8618173661780424,0.90752110514198,2606,2365,241,3,2026-04-06T19:43:26Z
Boston Bruins,BOS,19931994,2,33,3,1511,289,483,772,27,1407,84,17,42,2,2980,0.09697986577181208,93,84,42,29,0,2.9343392683062017,0.881572714353387,2111,1861,250,5,2026-04-06T19:43:26Z
Buffalo Sabres,BUF,19931994,2,31,2,1512,282,440,722,103,1722,96,21,43,0,2369,0.1190375685943436,90,84,43,32,0,2.5376549969508795,0.9125660837738918,2459,2244,215,9,2026-04-06T19:43:26Z
Calgary Flames,CGY,19931994,2,37,5,1510,302,491,793,213,1809,87,16,42,3,2640,0.1143939393939394,92,84,42,29,0,2.94814321790028,0.891153512575889,2306,2055,251,5,2026-04-06T19:43:27Z
Chicago Blackhawks,CHI,19931994,2,35,3,1511,254,428,682,83,2038,67,15,39,2,2545,0.09980353634577603,93,84,39,36,0,2.831830562138032,0.9023596419853539,2458,2218,240,7,2026-04-06T19:43:27Z
Dallas Stars,DAL,19931994,2,36,2,1512,286,484,770,34,1845,81,8,42,6,2558,0.11180609851446442,91,84,42,29,0,3.0227979105983436,0.9000774593338497,2582,2324,258,5,2026-04-06T19:43:27Z
Detroit Red Wings,DET,19931994,2,31,5,1511,356,589,945,324,1755,85,22,46,5,2990,0.11906354515050167,95,84,46,30,0,3.170388674930007,0.8832752613240418,2296,2028,268,4,2026-04-06T19:43:28Z
Edmonton Oilers,EDM,19931994,2,40,3,1511,261,436,697,-212,1844,74,2,25,1,2549,0.10239309533150255,91,84,25,45,0,3.4878486380688307,0.8969823100936525,2883,2586,297,1,2026-04-06T19:43:28Z
Florida Panthers,FLA,19931994,2,35,3,1512,233,377,610,7,1572,65,8,33,2,2291,0.1017023134002619,87,84,33,34,0,2.646972703907343,0.9193145305248126,2801,2575,226,2,2026-04-06T19:43:28Z
Hartford Whalers,HFD,19931994,2,40,5,1510,227,387,614,-193,1769,61,8,27,4,2319,0.09788702026735661,93,84,27,48,0,3.2359125936180613,0.8935508935508936,2574,2300,274,3,2026-04-06T19:43:28Z
Los Angeles Kings,LAK,19931994,2,38,4,1510,294,490,784,-177,1979,92,19,27,3,2769,0.10617551462621885,91,84,27,45,0,3.6424480761233666,0.8981206726013847,3033,2724,309,2,2026-04-06T19:43:29Z
Montréal Canadiens,MTL,19931994,2,32,5,1512,283,471,754,114,1480,78,8,41,3,2621,0.1079740557039298,94,84,41,29,0,2.8549143493060156,0.903876582278481,2528,2285,243,7,2026-04-06T19:43:29Z
New Jersey Devils,NJD,19931994,2,25,3,1512,306,508,814,472,1712,61,10,47,1,2657,0.11516748212269477,94,84,47,25,0,2.555429797646074,0.9108463434675431,2434,2217,217,5,2026-04-06T19:43:29Z
New York Islanders,NYI,19931994,2,35,3,1505,282,461,743,106,1721,74,15,36,5,2511,0.11230585424133811,94,84,36,36,0,3.073631733383056,0.8979671618451915,2558,2297,261,5,2026-04-06T19:43:30Z
New York Rangers,NYR,19931994,2,34,2,1511,299,493,792,171,1664,96,20,52,3,2871,0.10414489724834552,97,84,52,24,0,2.693593854090436,0.9019354838709678,2325,2097,228,7,2026-04-06T19:43:30Z
Ottawa Senators,OTT,19931994,2,42,4,1511,201,343,544,-755,1680,63,9,14,4,2148,0.0935754189944134,101,84,14,61,0,4.577780982282729,0.8597759306107697,2767,2379,388,0,2026-04-06T19:43:30Z
Philadelphia Flyers,PHI,19931994,2,34,3,1507,294,520,814,-108,1661,80,9,35,3,2409,0.12204234122042341,98,84,35,39,0,3.582417870189727,0.8854127402940067,2653,2349,304,3,2026-04-06T19:43:31Z
Pittsburgh Penguins,PIT,19931994,2,33,4,1502,299,516,815,43,1554,76,6,44,4,2731,0.10948370560234347,90,84,44,27,0,3.324012959343811,0.894166043380703,2674,2391,283,3,2026-04-06T19:43:31Z
Quebec Nordiques,QUE,19931994,2,37,4,1510,277,452,729,7,1593,67,10,34,0,2405,0.11517671517671518,98,84,34,42,0,3.3342232505710303,0.8902772354549005,2561,2280,281,2,2026-04-06T19:43:31Z
San Jose Sharks,SJS,19931994,2,34,2,1512,252,422,674,-31,1295,68,6,33,2,2101,0.1199428843407901,89,84,33,35,0,3.0419491442478974,0.8913134704154427,2383,2124,259,3,2026-04-06T19:43:32Z
St. Louis Blues,STL,19931994,2,36,2,1509,270,443,713,-142,1633,86,17,40,4,2570,0.10505836575875487,94,84,40,33,0,3.3198494426040805,0.9042444821731749,2945,2663,282,1,2026-04-06T19:43:32Z
Tampa Bay Lightning,TBL,19931994,2,32,4,1511,224,355,579,-142,1567,57,7,30,3,2503,0.08949260886935677,90,84,30,43,0,2.8940609007666516,0.8926233085988651,2291,2045,246,5,2026-04-06T19:43:32Z
Toronto Maple Leafs,TOR,19931994,2,37,2,1510,280,457,737,105,1863,88,8,43,4,2530,0.11067193675889328,88,84,43,29,0,2.8254684587461982,0.9059192473539789,2551,2311,240,3,2026-04-06T19:43:33Z
Vancouver Canucks,VAN,19931994,2,32,2,1508,279,451,730,1,1899,83,14,41,5,2625,0.10628571428571429,84,84,41,40,0,3.1962716764913623,0.8819139596136962,2278,2009,269,3,2026-04-06T19:43:33Z
Washington Capitals,WSH,19931994,2,32,4,1511,277,469,746,75,1961,70,8,39,2,2606,0.10629316960859554,97,84,39,35,0,3.0609832965647654,0.8805350553505535,2168,1909,259,4,2026-04-06T19:43:33Z
Winnipeg Jets (1979),WIN,19931994,2,38,4,1512,245,422,667,-444,2127,82,13,24,1,2470,0.09919028340080972,100,84,24,51,0,3.991955723673203,0.8789398280802292,2792,2454,338,2,2026-04-06T19:43:33Z
