Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20092010,2,34,3,1476,233,385,618,-43,1315,63,8,34,3,2472,0.09425566343042072,89,82,39,32,11,2.8263903800730086,0.9142228739002932,2728,2494,234,3,2026-04-06T19:47:03Z
Atlanta Thrashers,ATL,20092010,2,28,2,1476,230,409,639,-69,1039,51,9,31,2,2409,0.09547530095475301,89,82,35,34,13,2.9336099026170817,0.9106351550960118,2708,2466,242,5,2026-04-06T19:47:03Z
Boston Bruins,BOS,20092010,2,33,2,1476,196,345,541,-17,919,44,6,29,4,2599,0.07541362062331666,88,82,39,30,13,2.2541741189636393,0.923013923013923,2442,2254,188,10,2026-04-06T19:47:03Z
Buffalo Sabres,BUF,20092010,2,26,3,1476,231,414,645,49,896,55,4,41,6,2588,0.089258114374034,86,82,45,27,10,2.347018674660331,0.9244253992987924,2567,2373,194,5,2026-04-06T19:47:04Z
Calgary Flames,CGY,20092010,2,32,3,1476,201,342,543,35,1125,43,8,37,2,2350,0.08553191489361703,89,82,40,32,10,2.4001292998949437,0.9163498098859315,2367,2169,198,4,2026-04-06T19:47:04Z
Carolina Hurricanes,CAR,20092010,2,34,4,1475,226,384,610,-114,944,56,7,31,5,2402,0.09408825978351373,91,82,35,37,10,2.8540235483816785,0.9077764751856194,2559,2323,236,1,2026-04-06T19:47:04Z
Chicago Blackhawks,CHI,20092010,2,28,3,1476,262,463,725,215,904,52,13,43,6,2798,0.09363831308077197,88,82,52,22,8,2.3966038076695337,0.9031158714703018,2054,1855,199,11,2026-04-06T19:47:05Z
Colorado Avalanche,COL,20092010,2,35,2,1476,237,416,653,46,985,56,8,36,2,2287,0.10362920857017928,86,82,43,30,9,2.635520421253417,0.91676212294769,2619,2401,218,8,2026-04-06T19:47:06Z
Columbus Blue Jackets,CBJ,20092010,2,35,2,1476,214,381,595,-151,1066,56,6,30,3,2338,0.09153122326775022,93,82,32,35,15,2.9680870317118786,0.9020310633213859,2511,2265,246,7,2026-04-06T19:47:06Z
Dallas Stars,DAL,20092010,2,30,4,1476,230,389,619,-58,943,61,9,30,2,2523,0.09116131589377725,87,82,37,31,14,2.8246418280707966,0.9078792630341043,2551,2316,235,4,2026-04-06T19:47:07Z
Detroit Red Wings,DET,20092010,2,28,2,1474,223,383,606,-7,705,59,8,38,5,2737,0.08147606868834491,86,82,44,24,14,2.4517593643586832,0.9153526970954357,2410,2206,204,4,2026-04-06T19:47:07Z
Edmonton Oilers,EDM,20092010,2,37,3,1475,206,351,557,-291,1103,52,6,19,1,2321,0.08875484704868591,85,82,27,47,8,3.276805417006741,0.9,2710,2439,271,3,2026-04-06T19:47:07Z
Florida Panthers,FLA,20092010,2,31,3,1476,202,349,551,-109,961,44,7,26,2,2331,0.08665808665808666,88,82,32,37,13,2.676337917801063,0.9204015776263894,2789,2567,222,8,2026-04-06T19:47:08Z
Los Angeles Kings,LAK,20092010,2,31,3,1476,231,406,637,69,961,64,4,36,4,2389,0.09669317706153202,86,82,46,27,9,2.474672646458175,0.9086474501108648,2255,2049,206,5,2026-04-06T19:47:08Z
Minnesota Wild,MIN,20092010,2,36,4,1474,214,366,580,-167,906,59,4,33,5,2266,0.09443954104148279,90,82,38,36,8,2.7824170063478086,0.9044056525353283,2406,2176,230,3,2026-04-06T19:47:08Z
Montréal Canadiens,MTL,20092010,2,37,2,1474,210,355,565,-60,912,57,4,32,8,2345,0.08955223880597014,86,82,39,33,10,2.573834023787251,0.9186311787072243,2630,2416,214,5,2026-04-06T19:47:09Z
Nashville Predators,NSH,20092010,2,31,2,1476,217,365,582,28,692,47,5,39,6,2508,0.08652312599681021,89,82,47,29,6,2.5885357166857066,0.9104227710339055,2389,2175,214,8,2026-04-06T19:47:09Z
New Jersey Devils,NJD,20092010,2,35,2,1476,216,375,591,95,837,51,7,42,2,2459,0.08784058560390402,89,82,48,27,7,2.222930684430424,0.9167797376752601,2211,2027,184,9,2026-04-06T19:47:09Z
New York Islanders,NYI,20092010,2,33,3,1476,214,365,579,-118,910,49,7,26,6,2493,0.08584035298836742,87,82,34,37,11,3.0520999876500765,0.902868068833652,2615,2361,254,3,2026-04-06T19:47:10Z
New York Rangers,NYR,20092010,2,30,5,1475,219,368,587,-11,1137,55,5,35,1,2425,0.09030927835051547,88,82,38,33,11,2.4769389028482776,0.9163934426229509,2440,2236,204,5,2026-04-06T19:47:10Z
Ottawa Senators,OTT,20092010,2,32,3,1476,220,378,598,-67,1113,49,6,39,5,2436,0.090311986863711,92,82,44,32,6,2.73242946429471,0.9031290184312044,2333,2107,226,6,2026-04-06T19:47:10Z
Philadelphia Flyers,PHI,20092010,2,28,5,1476,232,391,623,-16,1346,68,6,37,2,2589,0.08960988798764001,91,82,41,35,6,2.6401703335699076,0.9073441502988898,2342,2125,217,5,2026-04-06T19:47:11Z
Phoenix Coyotes,PHX,20092010,2,32,2,1476,211,364,575,80,901,46,3,36,5,2502,0.08433253397282174,86,82,50,25,7,2.262479549898248,0.921900826446281,2420,2231,189,8,2026-04-06T19:47:11Z
Pittsburgh Penguins,PIT,20092010,2,33,4,1476,249,431,680,40,1173,56,7,39,6,2688,0.09263392857142858,92,82,47,28,7,2.7182576304176385,0.9038461538461539,2340,2115,225,1,2026-04-06T19:47:11Z
San Jose Sharks,SJS,20092010,2,30,2,1476,257,443,700,145,1129,65,8,44,1,2602,0.09877017678708686,87,82,51,20,11,2.47160004286786,0.9201402415270744,2567,2362,205,3,2026-04-06T19:47:12Z
St. Louis Blues,STL,20092010,2,28,2,1476,218,375,593,-45,1292,52,7,33,3,2445,0.08916155419222904,87,82,40,32,10,2.51443922095366,0.9155501421031262,2463,2255,208,6,2026-04-06T19:47:12Z
Tampa Bay Lightning,TBL,20092010,2,32,3,1477,213,372,585,-184,1343,63,2,30,5,2367,0.08998732572877059,93,82,34,36,12,2.9794434485416073,0.9038536395484624,2569,2322,247,3,2026-04-06T19:47:12Z
Toronto Maple Leafs,TOR,20092010,2,34,4,1476,210,366,576,-123,1065,44,4,26,5,2671,0.07862223886184949,89,82,30,38,14,3.044234008711234,0.8962962962962963,2430,2178,252,4,2026-04-06T19:47:13Z
Vancouver Canucks,VAN,20092010,2,32,3,1476,268,466,734,189,1257,68,9,45,4,2534,0.10576164167324388,91,82,49,28,5,2.559911569142214,0.9125207296849088,2412,2201,211,5,2026-04-06T19:47:13Z
Washington Capitals,WSH,20092010,2,35,3,1476,313,520,833,384,920,79,4,49,6,2693,0.1162272558484961,90,82,54,15,13,2.7200058839851966,0.9108129439621152,2534,2308,226,3,2026-04-06T19:47:13Z
