Team,TriCode,Season,GameType,Skaters,Goalies,SkaterGP,SkaterG,SkaterA,SkaterPTS,SkaterPM,SkaterPIM,SkaterPPG,SkaterSHG,SkaterGWG,SkaterOTG,SkaterS,SkaterS%,GoalieGP,GoalieGS,GoalieW,GoalieL,GoalieOTL,GoalieGAA,GoalieSV%,GoalieSA,GoalieSaves,GoalieGA,GoalieSO,SourceDate
Anaheim Ducks,ANA,20182019,2,45,4,1475,196,326,522,-181,716,36,5,32,5,2271,0.08630559225011009,92,82,35,37,10,2.8430356763178235,0.9136849870896349,2711,2477,234,4,2026-04-06T19:49:15Z
Arizona Coyotes,ARI,20182019,2,30,5,1476,209,325,534,-116,553,42,16,35,5,2521,0.08290360967869893,87,82,39,35,8,2.540724531971797,0.9169316375198728,2516,2307,209,6,2026-04-06T19:49:16Z
Boston Bruins,BOS,20182019,2,37,2,1476,257,436,693,127,779,65,7,47,9,2680,0.0958955223880597,86,82,49,24,9,2.41540681600561,0.9171868497711194,2403,2204,199,9,2026-04-06T19:49:16Z
Buffalo Sabres,BUF,20182019,2,32,2,1476,221,376,597,-259,560,46,3,28,7,2697,0.08194289951798295,87,82,33,39,10,3.0475239710896687,0.9065872720506141,2687,2436,251,2,2026-04-06T19:49:16Z
Calgary Flames,CGY,20182019,2,29,2,1476,289,502,791,297,671,53,18,50,5,2656,0.10881024096385543,87,82,50,25,7,2.667400813679606,0.9050936003482803,2297,2079,218,3,2026-04-06T19:49:17Z
Carolina Hurricanes,CAR,20182019,2,29,4,1476,243,398,641,94,598,44,8,44,5,2821,0.08613966678482808,82,82,46,29,7,2.5540061643742615,0.9103389103389103,2331,2122,209,6,2026-04-06T19:49:17Z
Chicago Blackhawks,CHI,20182019,2,31,3,1476,267,458,725,-62,576,48,6,33,9,2669,0.10003746721618584,88,82,36,34,12,3.32524690668805,0.9036697247706422,2834,2561,273,2,2026-04-06T19:49:17Z
Colorado Avalanche,COL,20182019,2,30,3,1476,258,429,687,39,740,63,9,36,3,2676,0.09641255605381166,88,82,38,30,14,2.767664520586452,0.9127594158339739,2602,2375,227,5,2026-04-06T19:49:18Z
Columbus Blue Jackets,CBJ,20182019,2,32,2,1476,256,415,671,90,496,34,8,45,8,2592,0.09876543209876543,89,82,47,31,4,2.684436370045486,0.9085999169090154,2407,2187,220,9,2026-04-06T19:49:18Z
Dallas Stars,DAL,20182019,2,35,3,1476,209,355,564,0,611,45,4,42,6,2519,0.08296943231441048,89,82,43,32,7,2.2339548936429945,0.9289044289044289,2574,2391,183,9,2026-04-06T19:49:18Z
Detroit Red Wings,DET,20182019,2,35,3,1476,224,378,602,-174,623,39,7,29,9,2393,0.09360635185959047,91,82,32,40,10,3.109416646985391,0.9067395264116576,2745,2489,256,1,2026-04-06T19:49:19Z
Edmonton Oilers,EDM,20182019,2,36,3,1476,229,383,612,-150,734,47,10,32,8,2392,0.09573578595317726,92,82,35,38,9,3.1187184016568192,0.9009287925696594,2584,2328,256,5,2026-04-06T19:49:19Z
Florida Panthers,FLA,20182019,2,35,4,1476,264,455,719,-199,676,72,3,33,7,2705,0.09759704251386321,94,82,36,32,14,3.142917816946273,0.8965241709948062,2503,2244,259,1,2026-04-06T19:49:19Z
Los Angeles Kings,LAK,20182019,2,33,4,1476,199,323,522,-230,641,35,4,28,6,2358,0.08439355385920272,91,82,31,42,9,2.9551358490948463,0.905152224824356,2562,2319,243,5,2026-04-06T19:49:20Z
Minnesota Wild,MIN,20182019,2,33,2,1476,210,357,567,-147,620,49,5,36,3,2567,0.08180755746007012,88,82,37,36,9,2.6339500443733868,0.9100749375520399,2402,2186,216,2,2026-04-06T19:49:20Z
Montréal Canadiens,MTL,20182019,2,31,3,1476,246,422,668,118,660,31,5,41,4,2796,0.08798283261802575,84,82,44,30,8,2.771644570161069,0.9106299212598425,2540,2313,227,4,2026-04-06T19:49:20Z
Nashville Predators,NSH,20182019,2,34,2,1476,236,385,621,169,652,33,8,43,5,2678,0.08812546676624347,87,82,47,29,6,2.4898544533609983,0.9167686658506732,2451,2247,204,7,2026-04-06T19:49:21Z
New Jersey Devils,NJD,20182019,2,38,3,1476,219,355,574,-286,723,45,10,28,4,2488,0.0880225080385852,90,82,31,41,10,3.0865093483023185,0.9013592233009708,2575,2321,254,6,2026-04-06T19:49:21Z
New York Islanders,NYI,20182019,2,26,3,1476,223,370,593,196,626,33,6,43,6,2360,0.09449152542372881,91,82,48,27,7,2.194153637897303,0.9283168316831684,2525,2344,181,11,2026-04-06T19:49:21Z
New York Rangers,NYR,20182019,2,32,2,1476,221,367,588,-171,822,44,7,26,3,2393,0.09235269536147096,85,82,32,36,14,3.010245715840058,0.9096516690856313,2756,2507,249,2,2026-04-06T19:49:22Z
Ottawa Senators,OTT,20182019,2,42,6,1476,242,418,660,-305,687,46,4,29,6,2429,0.09962947715109098,91,82,29,47,6,3.476002189500597,0.9025394646533974,2914,2630,284,4,2026-04-06T19:49:22Z
Philadelphia Flyers,PHI,20182019,2,30,8,1476,241,418,659,-144,711,40,4,34,6,2583,0.09330236159504453,94,82,37,37,8,3.2372672577903105,0.9,2650,2385,265,3,2026-04-06T19:49:22Z
Pittsburgh Penguins,PIT,20182019,2,33,3,1476,271,459,730,95,655,56,12,42,5,2731,0.09923105089710729,88,82,44,26,12,2.7306745777568016,0.9171575846833578,2716,2491,225,7,2026-04-06T19:49:23Z
San Jose Sharks,SJS,20182019,2,26,2,1476,289,503,792,67,721,57,9,46,8,2708,0.10672082717872969,87,82,46,27,9,2.9996951529316127,0.893598615916955,2312,2066,246,5,2026-04-06T19:49:23Z
St. Louis Blues,STL,20182019,2,30,3,1476,244,416,660,71,595,50,5,42,6,2604,0.09370199692780339,88,82,45,28,9,2.5409562019391507,0.9104541559554413,2334,2125,209,9,2026-04-06T19:49:23Z
Tampa Bay Lightning,TBL,20182019,2,25,3,1476,319,543,862,298,753,74,12,56,7,2620,0.1217557251908397,82,82,62,16,4,2.607992452321585,0.9181575942139323,2627,2412,215,6,2026-04-06T19:49:24Z
Toronto Maple Leafs,TOR,20182019,2,26,3,1476,286,479,765,143,479,46,5,46,6,2736,0.10453216374269006,85,82,46,28,8,2.847318164382725,0.9137675795706883,2702,2469,233,3,2026-04-06T19:49:24Z
Vancouver Canucks,VAN,20182019,2,37,5,1476,219,352,571,-135,713,43,7,29,7,2433,0.09001233045622688,83,82,35,36,11,2.908812938786184,0.906949806949807,2590,2349,241,1,2026-04-06T19:49:24Z
Vegas Golden Knights,VGK,20182019,2,28,3,1476,246,393,639,90,565,39,11,40,4,2814,0.08742004264392324,83,82,43,32,7,2.633379164606517,0.9095477386934674,2388,2172,216,9,2026-04-06T19:49:25Z
Washington Capitals,WSH,20182019,2,26,2,1476,274,475,749,143,708,49,5,44,5,2492,0.10995184590690209,86,82,48,26,8,2.8446965859588693,0.9089848308051341,2571,2337,234,4,2026-04-06T19:49:25Z
Winnipeg Jets,WPG,20182019,2,29,3,1476,270,455,725,60,741,62,10,45,7,2557,0.10559249120062573,85,82,47,30,5,2.8361216678613452,0.9146832662028561,2731,2498,233,3,2026-04-06T19:49:25Z
