Name,Team,P,G,A
Bouna Coundoul,Colorado Rapids,17,0,0
Christian Gomez,Colorado Rapids,19,3,7
Colin Clark,Colorado Rapids,29,4,2
Conor Casey,Colorado Rapids,21,11,1
Cory Gibbs,Colorado Rapids,9,1,0
Facundo Erpen,Colorado Rapids,23,1,1
Greg Dalby,Colorado Rapids,3,0,0
Jacob Peterson,Colorado Rapids,17,1,0
John DiRaimondo,Colorado Rapids,11,1,0
Jordan Harvey,Colorado Rapids,15,1,1
Jose Burciaga Jr.,Colorado Rapids,12,1,1
Kosuke Kimura,Colorado Rapids,18,0,0
Mehdi Ballouchy,Colorado Rapids,19,1,3
Mike Petke,Colorado Rapids,11,2,0
Nick LaBrocca,Colorado Rapids,30,2,0
Omar Cummings,Colorado Rapids,27,7,5
Pablo Mastroeni,Colorado Rapids,24,0,0
Preston Burpo,Colorado Rapids,13,0,0
Rafael dos Santos Gomes,Colorado Rapids,7,0,1
Stephen Keel,Colorado Rapids,6,0,0
Terry Cooke,Colorado Rapids,24,1,11
Thomas McManus,Colorado Rapids,17,4,1
Tom McManus,Colorado Rapids,4,2,0
Ugo Ihemelu,Colorado Rapids,18,0,0
