Name,Team,P,G,A
Bobby Boswell,Houston Dynamo FC,32,1,1
Brad Davis,Houston Dynamo FC,28,3,7
Brian Ching,Houston Dynamo FC,27,14,6
Brian Mullan,Houston Dynamo FC,33,3,3
Chris Wondolowski,Houston Dynamo FC,8,0,0
Corbin Waller,Houston Dynamo FC,0,0,0
Corey Ashe,Houston Dynamo FC,23,1,1
Craig Waibel,Houston Dynamo FC,15,0,2
Dwayne De Rosario,Houston Dynamo FC,27,6,2
Eddie Robinson,Houston Dynamo FC,22,0,0
Erik Ustruck,Houston Dynamo FC,0,0,0
Franco Caraccio,Houston Dynamo FC,10,2,1
Geoff Cameron,Houston Dynamo FC,25,1,3
John Michael Hayden,Houston Dynamo FC,0,0,0
Kei Kamara,Houston Dynamo FC,24,5,2
Kyle Brown,Houston Dynamo FC,4,0,0
Nate Jaqua,Houston Dynamo FC,16,4,2
Nick Hatzke,Houston Dynamo FC,0,0,0
Pat Onstad,Houston Dynamo FC,27,0,0
Patrick Ianni,Houston Dynamo FC,18,0,0
Ricardo Clark,Houston Dynamo FC,28,3,0
Richard Mulrooney,Houston Dynamo FC,26,0,0
Stuart Holden,Houston Dynamo FC,30,3,4
Tony Caig,Houston Dynamo FC,7,0,0
Wade Barrett,Houston Dynamo FC,28,0,0
