Name,Team,P,G,A
Adam Smarte,San Jose Earthquakes,3,0,0
Arturo Álvarez,San Jose Earthquakes,28,6,5
Darren Huckerby,San Jose Earthquakes,14,6,2
Davide Somma,San Jose Earthquakes,2,0,0
Eric Denton,San Jose Earthquakes,26,0,1
Francisco Lima,San Jose Earthquakes,14,0,1
Gavin Glinton,San Jose Earthquakes,6,0,0
James Riley,San Jose Earthquakes,24,0,0
Jason Hernandez,San Jose Earthquakes,28,0,1
Jean Phillippe-Peguero,San Jose Earthquakes,2,0,0
Joe Cannon,San Jose Earthquakes,30,0,0
John Cunliffe,San Jose Earthquakes,12,2,0
Jovan Kirovski,San Jose Earthquakes,8,0,0
Kelly Gray,San Jose Earthquakes,15,0,0
Ned Grabavoy,San Jose Earthquakes,24,0,1
Nick Garcia,San Jose Earthquakes,24,0,0
Ramiro Corrales,San Jose Earthquakes,22,2,4
Ronnie O'Brien,San Jose Earthquakes,28,4,6
Ryan Cochrane,San Jose Earthquakes,19,2,1
Ryan Johnson,San Jose Earthquakes,27,5,2
Scott Sealy,San Jose Earthquakes,27,5,2
Shea Salinas,San Jose Earthquakes,22,2,0
