Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Phoenix Mercury,23,11,0.676,-,12-5,11-6,13-7,92.8,89.1,3.7,L1,6-4
2,Indiana Fever,22,12,0.647,1,14-3,8-9,17-5,76.6,73.6,3.0,L2,3-7
3,Seattle Storm,20,14,0.588,3,13-4,7-10,13-7,74.8,72.8,2.0,W1,7-3
4,Atlanta Dream,18,16,0.529,5,12-5,6-11,10-12,84.1,82.3,1.8,L1,5-5
5,Detroit Shock,18,16,0.529,5,11-6,7-10,11-11,78.0,77.8,0.2,W2,8-2
6,Los Angeles Sparks,18,16,0.529,5,11-6,7-10,11-9,74.5,73.5,1.0,W3,7-3
7,Chicago Sky,16,18,0.471,7,12-5,4-13,10-12,75.7,79.2,-3.5,L1,4-6
8,Washington Mystics,16,18,0.471,7,11-6,5-12,10-12,76.0,77.1,-1.1,L1,4-6
9,Connecticut Sun,16,18,0.471,7,12-5,4-13,10-12,78.0,78.1,-0.1,W1,3-7
10,San Antonio Silver Stars,15,19,0.441,8,10-7,5-12,10-10,76.9,78.3,-1.4,L1,4-6
11,Minnesota Lynx,14,20,0.412,9,9-8,5-12,7-13,80.3,83.1,-2.8,L2,3-7
12,New York Liberty,13,21,0.382,10,8-9,5-12,9-13,73.9,74.6,-0.7,W1,4-6
13,Sacramento Monarchs,12,22,0.353,11,7-10,5-12,6-14,76.8,79.1,-2.3,W1,5-5
