Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,New York Liberty,32,8,0.8,-,16-4,16-4,16-4,85.6,76.5,9.2,L1,7-3
2,Minnesota Lynx,30,10,0.75,2,16-4,14-6,14-6,82.0,75.6,6.4,L1,8-2
3,Connecticut Sun,28,12,0.7,4,14-6,14-6,14-6,80.1,73.6,6.5,W1,6-4
4,Las Vegas Aces,27,13,0.675,5,13-7,14-6,12-8,86.4,80.9,5.5,W5,9-1
5,Seattle Storm,25,15,0.625,7,14-6,11-9,13-7,83.2,78.8,4.4,W1,6-4
6,Indiana Fever,20,20,0.5,12,12-8,8-12,11-9,85.0,87.7,-2.7,L1,6-4
7,Phoenix Mercury,19,21,0.475,13,10-10,9-11,10-10,81.5,84.8,-3.4,L1,3-7
8,Atlanta Dream,15,25,0.375,17,8-12,7-13,7-13,77.0,79.8,-2.8,W3,5-5
9,Washington Mystics,14,26,0.35,18,5-15,9-11,7-13,79.3,82.3,-3.0,W1,6-4
10,Chicago Sky,13,27,0.325,19,6-14,7-13,5-15,77.4,82.5,-5.1,L5,2-8
11,Dallas Wings,9,31,0.225,23,7-13,2-18,6-14,84.2,92.1,-7.9,L9,1-9
12,Los Angeles Sparks,8,32,0.2,24,5-15,3-17,5-15,78.4,85.6,-7.2,W1,2-8
