Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,New York Liberty,23,11,0.676,-,12-5,11-6,13-9,74.4,71.1,3.3,L2,6-4
2,Minnesota Lynx,22,12,0.647,1,13-4,9-8,16-6,75.5,71.7,3.8,L1,4-6
3,Chicago Sky,21,13,0.618,2,13-4,8-9,14-8,82.9,78.8,4.1,L1,7-3
4,Phoenix Mercury,20,14,0.588,3,13-4,7-10,15-7,75.1,72.3,2.8,L1,5-5
5,Indiana Fever,20,14,0.588,3,11-6,9-8,13-9,77.7,75.8,1.9,W2,5-5
6,Tulsa Shock,18,16,0.529,5,12-5,6-11,11-11,77.7,77.1,0.6,W1,8-2
7,Washington Mystics,18,16,0.529,5,11-6,7-10,10-12,73.6,71.2,2.4,L1,3-7
8,Atlanta Dream,15,19,0.441,8,9-8,6-11,10-12,77.8,79.8,-2.0,W1,6-4
9,Connecticut Sun,15,19,0.441,8,8-9,7-10,6-16,75.0,76.6,-1.6,W1,3-7
10,Los Angeles Sparks,14,20,0.412,9,9-8,5-12,10-12,73.6,74.6,-1.0,L2,6-4
11,Seattle Storm,10,24,0.294,13,8-9,2-15,8-14,70.4,76.1,-5.7,L1,4-6
12,San Antonio Stars,8,26,0.235,15,7-10,1-16,6-16,68.1,76.7,-8.6,W1,1-9
