Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Washington Mystics,26,8,0.765,-,14-3,12-5,13-3,89.3,77.3,12.0,W6,9-1
2,Connecticut Sun,23,11,0.676,3,15-2,8-9,11-5,80.8,77.9,2.9,L2,7-3
3,Los Angeles Sparks,22,12,0.647,4,15-2,7-10,10-6,80.1,77.2,2.9,W3,7-3
4,Las Vegas Aces,21,13,0.618,5,13-4,8-9,11-5,82.2,78.8,3.4,W1,6-4
5,Chicago Sky,20,14,0.588,6,12-5,8-9,11-5,84.6,83.3,1.3,L1,6-4
6,Seattle Storm,18,16,0.529,8,11-6,7-10,10-6,74.8,75.1,-0.3,W1,5-5
7,Minnesota Lynx,18,16,0.529,8,11-6,7-10,7-9,78.4,75.9,2.5,L1,6-4
8,Phoenix Mercury,15,19,0.441,11,9-8,6-11,5-11,76.5,77.6,-1.1,L4,4-6
9,Indiana Fever,13,21,0.382,13,7-10,6-11,7-9,77.6,80.3,-2.7,W2,5-5
10,Dallas Wings,10,24,0.294,16,8-9,2-15,5-11,71.6,77.4,-5.8,L4,4-6
11,New York Liberty,10,24,0.294,16,4-13,6-11,3-13,77.4,84.7,-7.3,W1,2-8
12,Atlanta Dream,8,26,0.235,18,5-12,3-14,3-13,71.2,78.9,-7.7,L1,3-7
