Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Connecticut Sun,26,6,0.813,-,15-1,11-5,12-3,79.7,69.9,9.8,W14,10-0
2,Las Vegas Aces,24,8,0.75,2,13-3,11-5,11-4,89.3,80.2,9.1,W4,8-2
3,Minnesota Lynx,22,10,0.688,4,13-3,9-7,10-5,82.7,78.7,4.0,W4,9-1
4,Seattle Storm,21,11,0.656,5,11-5,10-6,9-6,84.8,80.4,4.4,W1,5-5
5,Phoenix Mercury,19,13,0.594,7,7-9,12-4,6-9,82.1,79.5,2.6,L3,8-2
6,Chicago Sky,16,16,0.5,10,6-10,10-6,10-5,83.3,81.9,1.4,W1,5-5
7,Dallas Wings,14,18,0.438,12,7-9,7-9,7-8,81.1,81.7,-0.6,W1,5-5
8,New York Liberty,12,20,0.375,14,7-9,5-11,6-9,78.4,85.5,-7.1,W1,2-8
9,Washington Mystics,12,20,0.375,14,8-8,4-12,7-8,79.8,83.6,-3.8,L2,4-6
10,Los Angeles Sparks,12,20,0.375,14,8-8,4-12,2-13,72.8,77.1,-4.3,L1,3-7
11,Atlanta Dream,8,24,0.25,18,4-12,4-12,6-9,78.7,84.3,-5.6,L2,2-8
12,Indiana Fever,6,26,0.188,20,4-12,2-14,4-11,75.3,85.1,-9.8,L7,2-8
