Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Las Vegas Aces,34,6,0.85,-,19-1,15-5,18-2,92.8,80.3,12.5,W4,7-3
2,New York Liberty,32,8,0.8,2,15-5,17-3,16-4,89.2,80.6,8.6,L1,8-2
3,Connecticut Sun,27,13,0.675,7,13-7,14-6,14-6,82.7,79.0,3.7,L1,6-4
4,Dallas Wings,22,18,0.55,12,11-9,11-9,11-9,87.9,84.9,2.9,W2,6-4
5,Atlanta Dream,19,21,0.475,15,11-9,8-12,11-9,82.5,84.0,-1.5,L1,4-6
6,Minnesota Lynx,19,21,0.475,15,9-11,10-10,12-8,80.2,85.0,-4.8,L2,5-5
7,Washington Mystics,19,21,0.475,15,12-8,7-13,9-11,80.5,80.9,-0.4,W1,5-5
8,Chicago Sky,18,22,0.45,16,7-13,11-9,5-15,81.7,83.4,-1.6,W3,6-4
9,Los Angeles Sparks,17,23,0.425,17,10-10,7-13,9-11,78.9,80.5,-1.6,W1,5-5
10,Indiana Fever,13,27,0.325,21,6-14,7-13,5-15,81.0,85.1,-4.1,W1,5-5
11,Seattle Storm,11,29,0.275,23,4-16,7-13,8-12,78.8,84.5,-5.6,L4,2-8
12,Phoenix Mercury,9,31,0.225,25,8-12,1-19,2-18,76.6,84.9,-8.3,L11,0-10
