Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Detroit Shock,25,9,0.735,-,13-4,12-5,18-6,75.1,70.4,4.7,W4,7-3
2,Los Angeles Sparks,24,10,0.706,1,11-6,13-4,17-7,73.5,71.5,2.0,W5,6-4
3,Houston Comets,20,14,0.588,5,14-3,6-11,14-10,66.0,63.0,3.0,L3,5-5
4,Sacramento Monarchs,19,15,0.559,6,12-5,7-10,13-11,67.6,65.2,2.4,L1,7-3
5,Charlotte Sting,18,16,0.529,7,13-4,5-12,12-12,65.2,64.6,0.6,L1,5-5
6,Connecticut Sun,18,16,0.529,7,10-7,8-9,11-13,70.1,70.9,-0.8,W3,5-5
7,Minnesota Lynx,18,16,0.529,7,11-6,7-10,14-10,70.0,69.7,0.3,L2,5-5
8,Seattle Storm,18,16,0.529,7,13-4,5-12,11-13,70.2,66.9,3.3,W2,4-6
9,Cleveland Rockers,17,17,0.5,8,11-6,6-11,13-11,65.6,65.0,0.6,W1,6-4
10,Indiana Fever,16,18,0.471,9,11-6,5-12,12-12,68.7,68.3,0.4,L1,3-7
11,New York Liberty,16,18,0.471,9,11-6,5-12,11-13,66.0,66.4,-0.4,L2,5-5
12,San Antonio Silver Stars,12,22,0.353,13,9-8,3-14,10-14,65.1,71.4,-6.3,L2,4-6
13,Washington Mystics,9,25,0.265,16,3-14,6-11,7-17,68.5,73.5,-5.0,L4,4-6
14,Phoenix Mercury,8,26,0.235,17,6-11,2-15,5-19,61.7,66.8,-5.1,L1,3-7
