Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Minnesota Lynx,27,7,0.794,-,16-1,11-6,0-0,86.0,76.2,9.8,L1,7-3
2,Connecticut Sun,25,9,0.735,2,12-5,13-4,0-0,81.6,77.4,4.2,W3,7-3
3,Los Angeles Sparks,24,10,0.706,3,16-1,8-9,0-0,84.0,78.3,5.7,W4,6-4
4,Indiana Fever,22,12,0.647,5,13-4,9-8,0-0,78.3,72.3,6.0,W2,6-4
5,San Antonio Silver Stars,21,13,0.618,6,12-5,9-8,0-0,82.1,76.9,5.2,W1,4-6
6,Atlanta Dream,19,15,0.559,8,11-6,8-9,0-0,78.6,75.8,2.8,L1,7-3
7,Seattle Storm,16,18,0.471,11,10-7,6-11,0-0,71.2,71.6,-0.4,W3,5-5
8,New York Liberty,15,19,0.441,12,9-8,6-11,0-0,73.1,77.2,-4.1,W1,6-4
9,Chicago Sky,14,20,0.412,13,7-10,7-10,0-0,75.2,75.5,-0.3,W1,5-5
10,Tulsa Shock,9,25,0.265,18,6-11,3-14,0-0,77.2,84.2,-7.0,L2,4-6
11,Phoenix Mercury,7,27,0.206,20,3-14,4-13,0-0,74.5,86.7,-12.2,L7,2-8
12,Washington Mystics,5,29,0.147,22,4-13,1-16,0-0,68.6,78.3,-9.7,L13,0-10
