Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Las Vegas Aces,18,4,0.818,-,9-2,9-2,8-2,88.7,80.1,8.6,W6,9-1
2,Seattle Storm,18,4,0.818,-,10-1,8-3,8-2,87.5,76.0,11.5,L1,7-3
3,Los Angeles Sparks,15,7,0.682,3,8-3,7-4,5-5,84.9,80.3,4.6,L2,6-4
4,Minnesota Lynx,14,8,0.636,4,7-4,7-4,4-6,84.4,80.6,3.8,W1,5-5
5,Phoenix Mercury,13,9,0.591,5,6-5,7-4,4-6,86.1,84.1,2.0,L1,7-3
6,Chicago Sky,12,10,0.545,6,6-5,6-5,6-4,86.7,84.1,2.6,W1,4-6
7,Connecticut Sun,10,12,0.455,8,3-8,7-4,7-3,80.4,79.9,0.5,L2,5-5
8,Washington Mystics,9,13,0.409,9,5-6,4-7,6-4,80.0,81.5,-1.5,W4,5-5
9,Dallas Wings,8,14,0.364,10,4-7,4-7,1-9,83.4,87.0,-3.6,W1,4-6
10,Atlanta Dream,7,15,0.318,11,3-8,4-7,5-5,81.0,87.6,-6.6,L1,5-5
11,Indiana Fever,6,16,0.273,12,5-6,1-10,4-6,81.7,89.5,-7.8,L1,1-9
12,New York Liberty,2,20,0.091,16,0-11,2-9,2-8,71.9,85.9,-14.0,L8,1-9
