Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Charlotte Sting,18,14,0.0,-,11-5,7-9,12-5,0.0,0.0,0.0,W4,
2,New York Liberty,18,14,0.0,-,10-6,8-8,11-4,0.0,0.0,0.0,L2,
3,Los Angeles Sparks,2,0,0.0,1,12-4,13-3,17-3,0.0,0.0,0.0,W2,
4,Seattle Storm,17,15,0.0,1,10-6,7-9,10-4,0.0,0.0,0.0,L1,
5,Washington Mystics,17,15,0.0,1,9-7,8-8,12-6,0.0,0.0,0.0,L1,
6,Indiana Fever,16,16,0.0,2,10-6,6-10,12-7,0.0,0.0,0.0,W2,
7,Portland Fire,16,16,0.0,2,9-7,7-9,8-3,0.0,0.0,0.0,L4,
8,Houston Comets,0,1,0.0,2.5,14-2,10-6,16-3,0.0,0.0,0.0,L1,
9,Miami Sol,15,17,0.0,3,9-7,6-10,11-7,0.0,0.0,0.0,W1,
10,Sacramento Monarchs,14,18,0.0,4,10-6,4-12,8-5,0.0,0.0,0.0,W1,
11,Phoenix Mercury,11,21,0.0,7,10-6,1-15,7-7,0.0,0.0,0.0,L1,
12,Cleveland Rockers,10,22,0.0,8,4-12,6-10,7-8,0.0,0.0,0.0,L6,
13,Minnesota Lynx,10,22,0.0,8,7-9,3-13,6-7,0.0,0.0,0.0,L3,
14,Detroit Shock,9,23,0.0,9,7-9,2-14,6-8,0.0,0.0,0.0,L2,
