Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Las Vegas Aces,26,10,0.722,-,13-5,13-5,15-3,90.4,84.1,6.3,W4,8-2
2,Chicago Sky,26,10,0.722,-,14-4,12-6,15-3,86.3,81.3,5.0,W1,6-4
3,Connecticut Sun,25,11,0.694,1,13-5,12-6,11-7,85.8,77.8,8.0,W3,8-2
4,Seattle Storm,22,14,0.611,4,13-5,9-9,10-8,82.5,78.4,4.1,L1,5-5
5,Washington Mystics,22,14,0.611,4,12-6,10-8,11-7,80.2,75.9,4.3,W2,7-3
6,Dallas Wings,18,18,0.5,8,8-10,10-8,8-10,82.9,82.8,0.1,W1,7-3
7,New York Liberty,16,20,0.444,10,9-9,7-11,10-8,79.6,82.0,-2.4,W3,7-3
8,Phoenix Mercury,15,21,0.417,11,11-7,4-14,7-11,81.1,84.1,-3.0,L1,4-6
9,Minnesota Lynx,14,22,0.389,12,7-11,7-11,8-10,82.4,83.9,-1.5,L2,4-6
10,Atlanta Dream,14,22,0.389,12,8-10,6-12,5-13,78.5,81.5,-3.0,L4,2-8
11,Los Angeles Sparks,13,23,0.361,13,7-11,6-12,6-12,79.4,86.6,-7.2,L3,1-9
12,Indiana Fever,5,31,0.139,21,3-15,2-16,2-16,78.0,89.1,-11.1,L18,0-10
